Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
11. Kelly's Heroes,1970,2h 24m,GP,7.6,56K,50.0,A group of U.S. soldiers sneaks across enemy lines in WWII France to get their hands on a secret stash of Nazi treasure.,https://www.imdb.com/title/tt0065938/?ref_=sr_i_11,"['Clint Eastwood', 'Telly Savalas', 'Don Rickles']",Brian G. Hutton,"['Clint Eastwood', 'Telly Savalas', 'Don Rickles', ""Carroll O'Connor"", 'Donald Sutherland', 'Gavin MacLeod', 'Hal Buckley', 'Stuart Margolin', 'Jeff Morris', 'Richard Davalos']","$4,000,000 (estimated)",,"$5,200,000","$5,200,000","June 23, 1970","['Yugoslavia', 'United States']","The coast South of Trieste, Yugoslavia","['Metro-Goldwyn-Mayer (MGM)', 'Katzka-Loeb', 'Avala Film']",1 nomination total,"['Adventure', 'Comedy', 'War']","['English', 'French', 'German']"
12. Two Mules for Sister Sara,1970,1h 56m,GP,7.0,32K,62.0,"When a former Civil War soldier saves a nun from a gang of bandits, they team up to help the Mexicans in their war against the French.",https://www.imdb.com/title/tt0065134/?ref_=sr_i_12,"['Clint Eastwood', 'Shirley MacLaine', 'Manolo Fábregas']",Don Siegel,"['Clint Eastwood', 'Shirley MacLaine', 'Manolo Fábregas', 'Alberto Morin', 'Armando Silvestre', 'John Kelly', 'David Povall', 'Ada Carrasco', 'Pancho Córdova', 'José Chávez']","$2,500,000 (estimated)",,"$5,050,000","$5,050,000","June 16, 1970","['Mexico', 'United States']","Jantetelco, Morelos, Mexico","['Universal Pictures', 'The Malpaso Company', 'Martin Rackin Productions']",2 nominations total,"['Quest', 'Adventure', 'Drama', 'Romance', 'War', 'Western']","['English', 'Spanish', 'French', 'Latin']"
13. Le cercle rouge,1970,2h 20m,Not Rated,7.9,30K,92.0,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",https://www.imdb.com/title/tt0065531/?ref_=sr_i_13,"['Alain Delon', 'Bourvil', 'Gian Maria Volontè']",Jean-Pierre Melville,"['Alain Delon', 'Bourvil', 'Gian Maria Volontè', 'Yves Montand', 'Paul Crauchet', 'Paul Amiot', 'Pierre Collet', 'André Ekyan', 'Jean-Pierre Posier', 'François Périer']",,"$14,843","$473,897","$432,820","October 20, 1970","['France', 'Italy']","Place du Panthéon, Paris 5, Paris, France","['Comacico', 'Euro International Films', 'Fono Roma']",,"['Heist', 'Crime', 'Drama', 'Thriller']",['French']
14. The Conformist,1970,1h 53m,R,7.9,36K,100.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",https://www.imdb.com/title/tt0065571/?ref_=sr_i_14,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin']",Bernardo Bertolucci,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio', 'Fosco Giachetti', 'José Quaglio', 'Yvonne Sanson', 'Milly', 'Antonio Maestri', 'Alessandro Haber']","$750,000 (estimated)","$11,498","$655,960","$238,792","March 21, 1971","['Italy', 'France', 'West Germany']","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy","['Mars Film', 'Marianne Productions', 'Maran Film']",10 wins & 8 nominations total,['Drama'],"['Italian', 'French', 'Latin', 'Chinese']"
15. Woodstock,1970,3h 4m,R,8.1,19K,95.0,Oscar-winning musical chronicle that brilliantly captures the three-day rock concert and celebration of peace and love that became a capstone for the Sixties.,https://www.imdb.com/title/tt0066580/?ref_=sr_i_15,"['Joan Baez', 'Richie Havens', 'Roger Daltrey']",Michael Wadleigh,"['Joan Baez', 'Richie Havens', 'Roger Daltrey', 'Joe Cocker', 'The Who', 'Sha-Na-Na', 'Country Joe and the Fish', 'Arlo Guthrie', 'Crosby Stills & Nash', 'Ten Years After']","$600,000 (estimated)",,"$321,295","$126,562","March 26, 1970",['United States'],"Bethel, New York, USA",['Wadleigh-Maurice'],2 wins & 2 nominations total,"['Concert', 'Music Documentary', 'Documentary', 'History', 'Music']",['English']
16. El Topo,1970,2h 5m,Not Rated,7.2,32K,65.0,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,https://www.imdb.com/title/tt0067866/?ref_=sr_i_16,"['Alejandro Jodorowsky', 'Brontis Jodorowsky', 'José Legarreta']",Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Brontis Jodorowsky', 'José Legarreta', 'Alfonso Arau', 'José Luis Fernández', 'Ali Junco', 'Gerardo Zepeda', 'René Barrera', 'René Alís', 'Federico Gonzáles']","$1,000,000 (estimated)","$6,857","$161,267","$80,302","April 15, 1971",['Mexico'],"Cañón de la Huasteca, Santa Catarina, Nuevo León, Mexico",['Producciones Panicas'],4 wins & 3 nominations total,"['Drama', 'Western']",['Spanish']
17. The Wild Child,1970,1h 23m,G,7.5,9.1K,94.0,"In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.",https://www.imdb.com/title/tt0064285/?ref_=sr_i_17,"['François Truffaut', 'Jean-Pierre Cargol', 'Françoise Seigner']",François Truffaut,"['François Truffaut', 'Jean-Pierre Cargol', 'Françoise Seigner', 'Paul Villé', 'Pierre Fabre', 'Jean Dasté', 'Robert Cambourakis', 'Tounet Cargol', 'Eric Dolbert', 'Frédérique Dolbert']",,"$11,206","$65,560","$65,560","September 11, 1970",['France'],"Aubiat, Puy-de-Dôme, France","['Les Artistes Associés', 'Les Films du Carrosse', 'Les Productions Artistes Associés']",5 wins & 5 nominations total,"['Biography', 'Drama', 'History']","['French', 'French Sign Language']"
18. Wanda,1970,1h 42m,GP,7.1,6.1K,,"Wanda, a lonely housewife, drifts through mining country until she meets a petty thief who takes her in.",https://www.imdb.com/title/tt0067961/?ref_=sr_i_18,"['Barbara Loden', 'Michael Higgins', 'Dorothy Shupenes']",Barbara Loden,"['Barbara Loden', 'Michael Higgins', 'Dorothy Shupenes', 'Peter Shupenes', 'Jerome Thier', 'Marian Thier', 'Anthony Rotell', 'M.L. Kennedy', 'Gerald Grippo', 'Milton Gittleman']","$115,000 (estimated)","$10,679","$108,692","$51,713","January 14, 1971",['United States'],"Scranton, Pennsylvania, USA",['Foundation for Filmakers'],2 wins total,"['Heist', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']",['English']
19. Multiple Maniacs,1970,1h 31m,Not Rated,6.5,4.8K,,"Watch as the life of a leader of a menacing group of deviants, explodes in a spectacle of debauchery. Accidentally filmed from beginning to end, on purpose.",https://www.imdb.com/title/tt0067454/?ref_=sr_i_19,"['Divine', 'David Lochary', 'Mary Vivian Pearce']",John Waters,"['Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole', 'Cookie Mueller', 'Edith Massey', 'Susan Lowe', 'Rick Morrow', 'Howard Gruber', 'Paul Swift']","$5,000 (estimated)","$9,814","$39,025","$33,036","January 1, 2022",['United States'],"Baltimore, Maryland, USA",['Dreamland'],,"['Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Horror']",['English']
20. Tristana,1970,1h 39m,PG,7.4,13K,93.0,"Shortly after her mother's death, an innocent and youthful woman will find refuge into the household of her middle-aged aristocratic guardian, who will submit her to his sexual advances.",https://www.imdb.com/title/tt0066491/?ref_=sr_i_20,"['Catherine Deneuve', 'Fernando Rey', 'Franco Nero']",Luis Buñuel,"['Catherine Deneuve', 'Fernando Rey', 'Franco Nero', 'Lola Gaos', 'Antonio Casas', 'Jesús Fernández', 'Vicente Soler', 'José Calvo', 'Fernando Cebrián', 'Antonio Ferrandis']",,"$4,754","$14,586","$14,586","March 29, 1970","['Spain', 'Italy', 'France']","Paseo Recaredo, Toledo, Castilla-La Mancha, Spain","['Época Films', 'Talía Films', 'Selenia Cinematografica']",11 wins & 4 nominations total,['Drama'],['Spanish']
