Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
"179. Cornbread, Earl and Me",1975,1h 35m,PG,6.9,1.1K,,"A 12-year-old is traumatised by the murder of his friend, a star basketball player.",https://www.imdb.com/title/tt0072822/?ref_=sr_i_179,"['Moses Gunn', 'Rosalind Cash', 'Bernie Casey']",Joseph Manduke,"['Moses Gunn', 'Rosalind Cash', 'Bernie Casey', 'Madge Sinclair', 'Jamaal Wilkes', 'Stefan Gierasch', 'Charles Lampkin', 'Vince Martorano', 'Logan Ramsey', 'Thalmus Rasulala']","$800,000 (estimated)",,,,"May 21, 1975",['United States'],"Pike Amusement Park - 95 South Pine Avenue, Long Beach, California, USA","['American International Pictures (AIP)', 'ML Productions']",,"['Basketball', 'Drama', 'Sport']",['English']
180. The Amusement Park,1975,53m,,6.3,3.4K,77.0,"An elderly gentleman goes for what he assumes will be an ordinary day at the amusement park, only to find himself in the middle of a hellish nightmare.",https://www.imdb.com/title/tt9270362/?ref_=sr_i_180,"['Lincoln Maazel', 'Harry Albacker', 'Phyllis Casterwiler']",George A. Romero,"['Lincoln Maazel', 'Harry Albacker', 'Phyllis Casterwiler', 'Pete Chovan', 'Marion Cook', 'Walton Cook', 'Sally Erwin', 'Michael Gornick', 'Jack Gottlob', 'Virginia Greenwald']","$37,000 (estimated)",,,,"June 8, 2021",['United States'],"West View, Pennsylvania, USA","['Laurel Productions', 'Communicators Pittsburgh']",,"['Drama', 'Horror', 'Thriller']",['English']
181. The Devil's Cross,1975,1h 32m,,5.4,201,,"A British novelist travels to Spain to visit his sister. However, when he arrives he discovers that she has been murdered by a gang of devil-worshiping bandits called the Devil's Cross.",https://www.imdb.com/title/tt0072833/?ref_=sr_i_181,"['Gustavo Adolfo Bécquer', 'John Gilling', 'Félix Martialay']",John Gilling,"['Ramiro Oliveros', 'Carmen Sevilla', 'Adolfo Marsillach', 'Emma Cohen', 'Eduardo Fajardo', 'Mónica Randall', 'Tony Isbert', 'Fernando Sancho', 'Silvia Vivó', 'Eduardo Calvo']",,,,,"March 29, 1975",['Spain'],"Casa de Campo, Madrid, Spain",['Bulnes S.A.'],,['Horror'],['Spanish']
182. Deewaar,1975,2h 54m,,8.0,12K,,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.",https://www.imdb.com/title/tt0072860/?ref_=sr_i_182,"['Javed Akhtar', 'Salim Khan']",Yash Chopra,"['Amitabh Bachchan', 'Shashi Kapoor', 'Nirupa Roy', 'Parveen Babi', 'Neetu Singh', 'Manmohan Krishna', 'Madan Puri', 'Iftekhar', 'Satyendra Kapoor', 'Sudhir']",,,"$65,317",,May 1979,['India'],"Mumbai, Maharashtra, India",['Trimurti Films Pvt. Ltd.'],7 wins & 2 nominations total,"['Action', 'Crime', 'Drama', 'Thriller']","['Hindi', 'Urdu']"
183. They Fought for Their Country,1975,2h 38m,,7.7,3.4K,,July 1942. Soviet forces are retreating in the face of a massive German onslaught towards Stalingrad. An infantry platoon is tasked with holding a vital hill in order to give their comrades time to cross the Don River and regroup.,https://www.imdb.com/title/tt0073488/?ref_=sr_i_183,"['Vasiliy Shukshin', 'Vyacheslav Tikhonov', 'Sergey Bondarchuk']",Sergey Bondarchuk,"['Vasiliy Shukshin', 'Vyacheslav Tikhonov', 'Sergey Bondarchuk', 'Georgiy Burkov', 'Yuriy Nikulin', 'Ivan Lapikov', 'Nikolay Gubenko', 'Andrey Rostotskiy', 'Nikolay Volkov', 'Nikolay Shutko']",,,,,"May 12, 1975",['Soviet Union'],"Mosfilm Studios, Moscow, Russia","['Mosfilm', 'Pervoe Tvorcheskoe Obedinenie']",3 nominations total,"['Drama', 'War']",['Russian']
184. The Amorous Milkman,1975,1h 26m,,2.9,432,,Randy Milkman Davey bites off more than he can chew when he starts to deliver more than pints of milk to some of the bored housewives on his route. In a short space of time he finds himself engaged to two different women; on the receiving end of a bad beating from the local gangster whose girlfriend has been two-timing him with Davey; and finally he ends up in court on a rape charge when an irate husband comes home unexpectedly and discovers Terry and his wife in a compromising situation.,https://www.imdb.com/title/tt0068204/?ref_=sr_i_184,['Derren Nesbitt'],Derren Nesbitt,"['Julie Ege', 'Diana Dors', 'Brendan Price', 'Donna Reading', 'Nancie Wait', 'Alan Lake', 'Bill Fraser', 'Fred Emney', 'Patrick Holt', 'Roy Kinnear']",,,,,January 1975,['United Kingdom'],"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",['Lactifer Films'],,['Comedy'],['English']
185. Posse,1975,1h 32m,PG,6.5,2.5K,,An unscrupulous politico marshal and his deputies chase a gang of train robbers whose leader proves that every man has his price.,https://www.imdb.com/title/tt0073559/?ref_=sr_i_185,"['William Roberts', 'Christopher Knopf', 'Larry Cohen']",Kirk Douglas,"['Kirk Douglas', 'Bruce Dern', 'Bo Hopkins', 'James Stacy', 'Luke Askew', 'David Canary', 'Alfonso Arau', 'Katherine Woodville', 'Mark Roberts', 'Beth Brickell']","$2,000,000 (estimated)",,,,"August 8, 1975",['United States'],"Sabino Canyon, Tucson, Arizona, USA","['Bryna Productions', 'Zeeuwse Maatschappij N.V.']",1 nomination total,"['Drama', 'Western']",['English']
186. The House of Exorcism,1975,1h 32m,R,4.6,893,,A troubled priest attempts to exorcise the soul of a tourist who has been possessed by the Devil after witnessing supernatural events at a Spanish villa.,https://www.imdb.com/title/tt3420392/?ref_=sr_i_186,"['Alberto Cittini', 'Alfredo Leone', 'Mario Bava']",Lamberto Bava,"['Telly Savalas', 'Elke Sommer', 'Sylva Koscina', 'Alessio Orano', 'Gabriele Tinti', 'Kathleen Leone', 'Eduardo Fajardo', 'Carmen Silva', 'Franz von Treuberg', 'Espartaco Santoni']",,,,,"July 9, 1976","['Italy', 'West Germany', 'Spain']","Madrid, Spain","['Leone International', 'Euro America Produzioni Cinematografiche', 'Roxy Film']",,"['Horror', 'Mystery']",['English']
187. Le sauvage,1975,1h 47m,PG,6.5,2.2K,,"Martin lives alone on a Caribbean island. On an excursion to the port city, he helps Nelly, who has fled from her groom.",https://www.imdb.com/title/tt0073663/?ref_=sr_i_187,"['Jean-Paul Rappeneau', 'Élisabeth Rappeneau', 'Jean-Loup Dabadie']",Jean-Paul Rappeneau,"['Yves Montand', 'Catherine Deneuve', 'Luigi Vannucchi', 'Tony Roberts', 'Bobo Lewis', 'Dana Wynter', 'Gabriel Cattand', 'Vernon Dobtcheff', 'Luis Gerardo Tovar', 'Geoffrey Carey']",,,"$13,161,770",,April 1977,"['France', 'Italy', 'Venezuela']","Caracas, Venezuela","['Lira Films', 'Produzioni Artistiche Internazionali', 'Atlas Films']",1 win & 4 nominations total,"['Adventure', 'Comedy', 'Drama', 'Romance']","['French', 'English', 'Spanish']"
188. The Killer is Not Alone,1975,1h 21m,,5.7,108,,A psychologically damaged young man murders young women who sexually excite him.,https://www.imdb.com/title/tt0069735/?ref_=sr_i_188,"['Lola Flores', 'James Philbrook', 'Teresa Rabal']",Jesús García de Dueñas,"['Lola Flores', 'James Philbrook', 'Teresa Rabal', 'Domingo Codesido Ascanio', 'Francisco Pierrá', 'José Vivó', 'Juan José Otegui', 'Manuel Alexandre', ""Mayrata O'Wisiedo"", 'Maria Rohm']",,,,,"November 3, 1975",['Spain'],"Malaga, Costa del Sol, Spain","['Andrés Vicente Gómez Montero', 'Eguiluz Films']",,['Thriller'],['Spanish']
189. That Malicious Age,1975,1h 30m,TV-14,4.8,545,,"Gardener Napoleone takes a job in a southern-Italian villa and quickly finds himself embroiled in a menage-a-trois with Paola and her mother, which soon leads to sex, death and mayhem.",https://www.imdb.com/title/tt0073597/?ref_=sr_i_189,"['Gloria Guida', 'Nino Castelnuovo', 'Anita Sanders']",Silvio Amadio,"['Gloria Guida', 'Nino Castelnuovo', 'Anita Sanders', 'Mimmo Palmara', 'Andrea Aureli', 'Mario Garriba']",,,,,"January 12, 1976",['Italy'],"Elba Island, Livorno, Tuscany, Italy",['Domizia Cinematografica'],,"['Drama', 'Romance']",['Italian']
190. The Magic Flute,1975,2h 15m,G,7.4,5.4K,,"The story of the prince Tamino and his zestful sidekick Papageno, who are sent on a mission to save a beautiful princess from the clutches of evil.",https://www.imdb.com/title/tt0073822/?ref_=sr_i_190,"['Ulrik Cold', 'Josef Köstlinger', 'Irma Urrila']",Ingmar Bergman,"['Ulrik Cold', 'Josef Köstlinger', 'Irma Urrila', 'Håkan Hagegård', 'Elisabeth Erikson', 'Britt-Marie Aruhn', 'Kirsten Vaupel', 'Birgitta Smiding', 'Birgit Nordin', 'Ragnar Ulfung']","$650,000 (estimated)",,"$13,899",,"October 4, 1975",['Sweden'],"Drottningholm Castle Theater, Drottningholm Castle, Drottningholm, Stockholms län, Sweden",['Sveriges Radio'],3 wins & 4 nominations total,"['Buddy Comedy', 'Supernatural Fantasy', 'Comedy', 'Fantasy', 'Music', 'Romance']",['Swedish']
191. Part 2: Walking Tall,1975,1h 49m,PG,6.0,1.6K,,Sheriff Buford Pusser continues his one-man war against moonshiners and a ruthless crime syndicate after the murder of his wife in late-1960s Tennessee.,https://www.imdb.com/title/tt0073880/?ref_=sr_i_191,"['Bo Svenson', 'Luke Askew', 'Bruce Glover']",Earl Bellamy,"['Bo Svenson', 'Luke Askew', 'Bruce Glover', 'Robert DoQui', 'Noah Beery Jr.', 'Archie Grinalds', 'Allen Mullikin', 'Logan Ramsey', 'John Davis Chandler', 'Lloyd Tatum']",,,,,"September 28, 1975",['United States'],"Henderson, Tennessee, USA","['Bing Crosby Productions', 'Cinerama Productions', 'Fuqua Industries']",,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",['English']
192. Waves of Lust,1975,1h 28m,Not Rated,5.5,564,,"A young couple becomes embroiled with the personal problems of another couple on a yacht moored off Sicily during a turbulent weekend of fun, games, sex games, betrayal, spouse abuse, and murder.",https://www.imdb.com/title/tt0073485/?ref_=sr_i_192,"['Gianlorenzo Battaglia', 'Lamberto Bava', 'Franco Bottari']",Ruggero Deodato,"['Al Cliver', 'Silvia Dionisio', 'John Steiner', 'Elizabeth Turner', 'Saverio Deodato']",,,,,July 2012,['Italy'],"Hotel Baia del Capitano, Cefalù PA, Italy",['T.D.L. Cinematografica'],,"['Drama', 'Thriller']",['Italian']
193. Crazy Mama,1975,1h 20m,PG,5.4,1.1K,,"A family of three women, and their male companions, enter a life of crime in a desperate attempt to buy back their family farm, which was taken off of them by corrupt bankers a couple of decades before.",https://www.imdb.com/title/tt0072829/?ref_=sr_i_193,"['Cloris Leachman', 'Stuart Whitman', 'Ann Sothern']",Jonathan Demme,"['Cloris Leachman', 'Stuart Whitman', 'Ann Sothern', 'Jim Backus', 'Don Most', 'Linda Purl', 'Bryan Englund', 'Merie Earle', 'Sally Kirkland', 'Clint Kimbrough']","$300,000 (estimated)",,,,"July 9, 1975",['United States'],"Wigwam Motel, Rialto, California, USA",['New World Pictures'],,"['Action', 'Comedy', 'Crime', 'Drama']",['English']
194. The Chaos Class Failed the Class,1975,1h 35m,,8.8,25K,,A young and beautiful female teacher starts working in an all boys high school.,https://www.imdb.com/title/tt0252488/?ref_=sr_i_194,"['Münir Özkul', 'Tarik Akan', 'Kemal Sunal']",Ertem Egilmez,"['Münir Özkul', 'Tarik Akan', 'Kemal Sunal', 'Adile Nasit', 'Halit Akçatepe', 'Semra Özdamar', 'Sener Sen', 'Tayfun Akalin', 'Tuncay Akça', 'Leman Akçatepe']",,,,,December 1975,['Turkey'],"Istanbul, Turkey",['Arzu Film'],1 win total,['Comedy'],['Turkish']
195. Peeper,1975,1h 27m,PG,5.6,962,,"In 1947, a smart-mouthed Brit working in L.A. as a private eye (or peeper) is on a case to find the long lost daughter of a shady client pursued by two dangerous goons. The case leads him to a rich oddball Beverly Hills family.",https://www.imdb.com/title/tt0073526/?ref_=sr_i_195,"['Michael Caine', 'Natalie Wood', 'Kitty Winn']",Peter Hyams,"['Michael Caine', 'Natalie Wood', 'Kitty Winn', 'Michael Constantine', 'Thayer David', 'Timothy Carey', 'Liam Dunn', 'Don Calfa', 'Margo Winkler', 'Harvey J. Goldenberg']",,,,,"December 3, 1975",['United States'],"Harold Lloyd's Greenacres Estate - 1740 Green Acres Drive, Beverly Hills, California, USA",['Twentieth Century Fox'],,"['Parody', 'Comedy', 'Crime', 'Mystery']",['English']
196. Moonrunners,1975,1h 50m,PG,5.9,406,,"Grady and Bobby Lee run moonshine for Uncle Jesse, who prides himself on his old-school moonshining methods, and refuses to buckle in to the 'big business moonshine' of Jake, who controls these parts for New York mobsters.",https://www.imdb.com/title/tt0071854/?ref_=sr_i_196,"['James Mitchum', 'Kiel Martin', 'Arthur Hunnicutt']",Gy Waldron,"['James Mitchum', 'Kiel Martin', 'Arthur Hunnicutt', 'Chris Forbes', 'George Ellis', 'Pete Munro', 'Joan Blackman', 'Waylon Jennings', 'Ralph Mooney', 'Don Brooks']",,,,,"May 14, 1975",['United States'],"15 Pine St. Williamson, Georgia, USA","['Moonrunner Company', 'Robert B. Clark Productions']",,"['Action', 'Comedy', 'Crime', 'Drama']",['English']
197. The Prisoner of Second Avenue,1975,1h 38m,PG,6.7,4K,,"A suddenly-unemployed company executive suffers a nervous breakdown, and his supporting wife tries everything to console him and pick up the slack.",https://www.imdb.com/title/tt0072034/?ref_=sr_i_197,['Neil Simon'],Melvin Frank,"['Jack Lemmon', 'Anne Bancroft', 'Gene Saks', 'Elizabeth Wilson', 'Florence Stanley', 'Maxine Stuart', 'Ed Peck', 'Gene Blakely', 'Ivor Francis', 'Stack Pierce']",,,,,"May 5, 1975",['United States'],"245 East 87th Street, Manhattan, New York City, New York, USA","['Major Studio Partners', 'Warner Bros.']",1 win & 2 nominations total,['Comedy'],['English']
198. The Teasers,1975,1h 30m,R,4.6,830,,"Loredana, a schoolgirl, exploits her innocence, seducing students and teachers. After losing virginity to an older man, she discovers life's deeper meanings beyond mere seduction.",https://www.imdb.com/title/tt0073290/?ref_=sr_i_198,"['Francesco Milizia', 'Marino Onorati', 'Michele Massimo Tarantini']",Michele Massimo Tarantini,"['Gloria Guida', 'Giuseppe Pambieri', ""Gianfranco D'Angelo"", 'Gisella Sofio', 'Rodolfo Bigotti', 'Alvaro Vitali', 'Angela Doria', 'Ilona Staller', 'Franco Diogene', 'Marcello Martana']",,,,,June 1977,['Italy'],,"['Dania Film', 'R.P.A. International']",,['Comedy'],['Italian']
199. Report to the Commissioner,1975,1h 52m,PG,6.7,1.3K,,Politics skew the probe of a rookie detective's accidental shooting of an undercover policewoman.,https://www.imdb.com/title/tt0073620/?ref_=sr_i_199,"['Michael Moriarty', 'Yaphet Kotto', 'Susan Blakely']",Milton Katselas,"['Michael Moriarty', 'Yaphet Kotto', 'Susan Blakely', 'Hector Elizondo', 'Tony King', 'Michael McGuire', 'Edward Grover', 'Dana Elcar', 'Bob Balaban', 'William Devane']",,,,,"September 19, 1975",['United States'],"625 8th Avenue, Manhattan, New York City, New York, USA",['Frankovich Productions'],2 nominations total,"['Action', 'Crime', 'Drama']",['English']
200. The Man in the Glass Booth,1975,1h 57m,PG,7.0,1.6K,,"Mossad agents kidnap an American Jewish man, accuse him of being a fugitive Nazi war criminal and take him to Jerusalem to face trial for genocide.",https://www.imdb.com/title/tt0073345/?ref_=sr_i_200,"['Maximilian Schell', 'Lois Nettleton', 'Lawrence Pressman']",Arthur Hiller,"['Maximilian Schell', 'Lois Nettleton', 'Lawrence Pressman', 'Luther Adler', 'Lloyd Bochner', 'Robert H. Harris', 'Henry Brown', 'Norbert Schiller', 'Berry Kroeger', 'Leonardo Cimino']",,,,,"January 27, 1975",['United States'],"New York City, New York, USA","['Cinévision Ltée', 'The American Film Theatre', 'The Ely Landau Organization Inc.']",3 nominations total,"['Drama', 'War']","['English', 'German']"
201. The Girls of the Golden Saloon,1975,1h 21m,,3.7,102,,"A bleak organization of prostitutes' traffickers realizes sinister business in the wild West. Seasoned by provocative sexy scenes, the film will surprise for its beauty!",https://www.imdb.com/title/tt0213652/?ref_=sr_i_201,"['Sandra Julien', 'Evelyne Scott', 'Roger Darton']",Gilbert Roussel,"['Sandra Julien', 'Evelyne Scott', 'Roger Darton', 'Alice Arno', 'Allan Spencer', 'France Nicolas', 'Claude Boisson', 'Gillian Gill', 'Michel Charrel', 'Pierre Taylou']",,,,,"May 23, 1975","['France', 'Belgium']",,"['Brux International Pictures', 'Eurociné']",,"['Spaghetti Western', 'Crime', 'Western']",['French']
202. The Ghoul,1975,1h 28m,R,5.3,2K,,"A former Priest named Dr. Lawrence harbors a dark and horrible secret in his attic. The locked room serves as a prison cell for his crazed, cannibalistic adult son, who acquired his savage tastes in India during his father's missionary work there. Lawrence fears that his son will escape to prey upon the effete guests at his rural English estate during a cross-country auto race.",https://www.imdb.com/title/tt0073042/?ref_=sr_i_202,"['Peter Cushing', 'John Hurt', 'Alexandra Bastedo']",Freddie Francis,"['Peter Cushing', 'John Hurt', 'Alexandra Bastedo', 'Gwen Watford', 'Veronica Carlson', 'Don Henderson', 'Ian McCulloch', 'Stewart Bevan', 'John D. Collins', 'Dan Meaden']",,,,,"June 1, 1975",['United Kingdom'],"Heatherden Hall, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",['Tyburn Film Productions Limited'],1 win total,"['Horror', 'Thriller']",['English']
203. A Dragonfly for Each Corpse,1975,1h 25m,Not Rated,5.7,720,,"A killer is cleaning up the streets of Milan by murdering those considered as deviant. An ornamental dragonfly, soaked in the blood of the victim, is left on each body.",https://www.imdb.com/title/tt0070312/?ref_=sr_i_203,"['Paul Naschy', 'Erika Blanc', 'Ángel Aranda']",León Klimovsky,"['Paul Naschy', 'Erika Blanc', 'Ángel Aranda', 'María Kosty', 'Ricardo Merino', 'Susana Mayo', 'Eduardo Calvo', 'Ramón Centenero', 'Mariano Vidal Molina', 'José Canalejas']",,,,,"November 17, 1975",['Spain'],Italy,"['C.C. Astro', 'Profilmes']",,"['Crime', 'Horror', 'Mystery', 'Thriller']",['Spanish']
204. Cleopatra Jones and the Casino of Gold,1975,1h 34m,R,5.6,1.3K,,"When fellow operatives (and childhood friends) Matthew Johnson and Melvin Johnson disappear during an undercover mission in Hong Kong, Cleopatra Jones (Tamara Dobson) travels there to find them. With the help of local detective Mi Ling, Cleopatra discovers that her friends' disappearance has to do with The Dragon Lady, a much-feared blonde ""lipstick lesbian"" who runs a Macao casino and controls a major chunk of the local drug trade.",https://www.imdb.com/title/tt0072791/?ref_=sr_i_204,"['Tamara Dobson', 'Stella Stevens', 'Ni Tien']",Charles Bail,"['Tamara Dobson', 'Stella Stevens', 'Ni Tien', 'Norman Fell', 'Albert Popwell', 'Caro Kenyatta', 'Shen Chan', 'Christopher Hunt', 'Chen-Chi Lin', 'Locke Hua Liu']","$3,625,000 (estimated)",,,,"July 11, 1975","['Hong Kong', 'United States']","Hong Kong, China","['Harbor Productions', 'Shaw Brothers', 'Warner Bros.']",,['Action'],"['English', 'Mandarin']"
205. Love Under the Elms,1975,1h 35m,,5.9,120,,"During a vacation, a teenager couple falls in love. Then their single parents fall in love too.",https://www.imdb.com/title/tt0192472/?ref_=sr_i_205,"['Anne Heywood', 'Claudio Cassinelli', 'Mark Lester']",Gianluigi Calderone,"['Anne Heywood', 'Claudio Cassinelli', 'Mark Lester', 'Monica Guerritore', 'Giovanna Di Bernardo', 'Bruno Zanin', 'Vincenzo Ferro', 'Janine Samona', 'Anna Waidmann', 'Giuseppe Winkler']",,,,,"February 27, 1975",['Italy'],,['Produzioni Atlas Consorziate (P.A.C.)'],1 win & 1 nomination total,"['Drama', 'Romance']","['Italian', 'English']"
206. The Romantic Englishwoman,1975,1h 56m,R,6.1,1.5K,,"A marriage crisis between a writer and his wife leads her to flee to Germany and eventually return with another man, through whom the writer is going to overcome his writer's block.",https://www.imdb.com/title/tt0073634/?ref_=sr_i_206,"['Tom Stoppard', 'Thomas Wiseman']",Joseph Losey,"['Glenda Jackson', 'Michael Caine', 'Helmut Berger', 'Michael Lonsdale', 'Béatrice Romand', 'Kate Nelligan', 'Nathalie Delon', 'Reinhard Kolldehoff', 'Anna Steele', 'Marcus Richardson']","$1,200,000 (estimated)",,,,"November 26, 1975","['United Kingdom', 'France']","Baden-Baden, Baden-Württemberg, Germany","['Dial Films', 'Les Productions Meric-Matalon', 'Angel Productions']",,"['Satire', 'Comedy', 'Drama', 'Romance']","['English', 'German']"
207. The Little Mermaid,1975,1h 14m,Not Rated,7.3,1.2K,,"A mermaid falls in love with a human prince, which leads to tragedy.",https://www.imdb.com/title/tt0070326/?ref_=sr_i_207,"['Fumie Kashiyama', 'Mariko Miyagi', 'Tarô Shigaki']",Tomoharu Katsumata,"['Fumie Kashiyama', 'Mariko Miyagi', 'Tarô Shigaki', 'Hideki Shibata', 'Kôsei Tomita', 'Kaneta Kimotsuki', 'Ichirô Nagai', ""Ken'ichi Ogata"", 'Haruko Kitahama', 'Miyoko Asô']",,,,,"February 4, 1978",['Japan'],,"['Toei Animation', 'Toei Company', 'Toei Doga']",1 win total,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']","['Japanese', 'English']"
208. The Four of the Apocalypse...,1975,1h 27m,Unrated,6.3,3.1K,,"In 1873, four petty criminals - three men and a pregnant woman - wander through the trackless terrain of Utah, where they are hounded by a sadistic bandit.",https://www.imdb.com/title/tt0073594/?ref_=sr_i_208,"['Fabio Testi', 'Lynne Frederick', 'Michael J. Pollard']",Lucio Fulci,"['Fabio Testi', 'Lynne Frederick', 'Michael J. Pollard', 'Harry Baird', 'Tomas Milian', 'Adolfo Lastretti', 'Bruno Corazzari', 'Giorgio Trestini', ""Donald O'Brien"", 'Miguel Pedregosa']",,,,,"August 12, 1975",['Italy'],Austria,['Coralta Cinematografica'],,"['Spaghetti Western', 'Fantasy', 'Western']",['Italian']
209. The Maids,1975,1h 35m,PG,6.3,603,,"A film version of Genet's play. Two house cleaners, Solange and Claire, hate their employers and, while they are out, take turns at dressing up as Madame and insulting her.",https://www.imdb.com/title/tt0071798/?ref_=sr_i_209,"['Glenda Jackson', 'Susannah York', 'Vivien Merchant']",Christopher Miles,"['Glenda Jackson', 'Susannah York', 'Vivien Merchant', 'Mark Burns']",,,,,"December 11, 1983","['United Kingdom', 'United States']","Elstree Studios, Borehamwood, Hertfordshire, England, UK","['Cine Films Inc.', 'Cinévision Ltée', 'Mantis Films']",,"['Drama', 'Romance']",['English']
210. Exorcism,1975,1h 30m,Not Rated,4.9,637,,A young woman participates (unknowingly) in a satanic ceremony and gets possessed by the spirit of her late father.,https://www.imdb.com/title/tt0071478/?ref_=sr_i_210,"['Juan Bosch', 'Jordi Gigó', 'Paul Naschy']",Juan Bosch,"['Paul Naschy', 'Maria Perschy', 'María Kosty', 'Mercedes Molina', 'Jordi Torras', 'Luis Induni', 'Roger Leveder', 'Joan Llaneras', 'Marta Avilés', 'Juan Velilla']",,,,,"March 10, 1975",['Spain'],"Barcelona, Catalonia, Spain",['Profilmes'],,['Horror'],['Spanish']
211. Winterhawk,1975,1h 38m,PG,5.7,653,,"In 1845 Montana, a Blackfoot Chief tries to buy a cure for his tribe's smallpox infection, but the white settlers are unsympathetic, forcing the Indian Chief to resort to desperate measures.",https://www.imdb.com/title/tt0075432/?ref_=sr_i_211,"['Leif Erickson', 'Woody Strode', 'Denver Pyle']",Charles B. Pierce,"['Leif Erickson', 'Woody Strode', 'Denver Pyle', 'L.Q. Jones', 'Elisha Cook Jr.', 'Seamon Glass', 'Dennis Fimple', 'Arthur Hunnicutt', 'Dawn Wells', 'Chuck Pierce Jr.']","$850,000 (estimated)",,,,"May 3, 1976",['United States'],"Kalispell, Montana, USA",['Charles B. Pierce Film Productions'],,"['Mountain Adventure', 'Adventure', 'Western']",['English']
212. L'assassino è costretto ad uccidere ancora,1975,1h 30m,Not Rated,6.4,1.4K,,"Giorgio is a greedy adulterer who makes a deal with a serial killer to dispose of his wealthy wife, Nora. Unfortunately, a thrill-seeking young couple steal the killer's car with Nora's corpse in the trunk, ending up at a run-down seaside villa.",https://www.imdb.com/title/tt0072662/?ref_=sr_i_212,"['Adriano Bolzoni', 'Luigi Cozzi', 'Daniele Del Giudice']",Luigi Cozzi,"['George Hilton', 'Antoine Saint-John', 'Femi Benussi', 'Cristina Galbó', 'Eduardo Fajardo', 'Tere Velázquez', 'Alessio Orano', 'Dario Griachi', 'Luigi Antonio Guerra', 'Achille Grioni']",,,,,"January 1, 1975","['Italy', 'France', 'Spain']","Gulf of Salerno, Amalfi, Salerno, Italy","['Albione Cinematografica', 'Git International Film', 'Paris-Cannes Productions']",,"['Giallo', 'Psychological Thriller', 'Crime', 'Horror', 'Thriller']",['Italian']
213. Psychic Killer,1975,1h 29m,PG,5.5,1.1K,,A former mental patient uses astral projection to destroy the people he believes have wronged him.,https://www.imdb.com/title/tt0073586/?ref_=sr_i_213,"['Paul Burke', 'Jim Hutton', 'Julie Adams']",Ray Danton,"['Paul Burke', 'Jim Hutton', 'Julie Adams', 'Nehemiah Persoff', 'Neville Brand', 'Aldo Ray', 'Whit Bissell', 'Rod Cameron', 'Della Reese', 'Mary Wilcox']","$250,000 (estimated)",,,,December 1975,['United States'],"Lincoln Heights Jail - 401 N. Avenue 19, Lincoln Heights, Los Angeles, California, USA","['Lexington Productions', 'Mars Productions Corporation', 'Syn-Frank Enterprises']",,"['Horror', 'Thriller']",['English']
214. Scandal in the Family,1975,1h 37m,,4.8,215,,"The story about an ambitious but inept nephew who takes over the physical property and women of his rich nobleman uncle, including his wife, his daughter, and his maid.",https://www.imdb.com/title/tt0073524/?ref_=sr_i_214,"['Michele Placido', 'Simonetta Stefanelli', 'Jenny Tamburi']",Bruno Gaburro,"['Michele Placido', 'Simonetta Stefanelli', 'Jenny Tamburi', 'Juliette Mayniel', 'Gastone Pescucci', 'Laura De Marchi', 'Corrado Olmi', 'Edy Williams', 'Renzo Montagnani', 'Rossella Pescatore']",,,,,July 1975,['Italy'],"ICET Studios, Milan, Lombardia, Italy",['Flaminia Produzioni Cinematografiche'],,"['Comedy', 'Drama']",['Italian']
215. The Rare Blue Apes of Cannibal Isle,1975,1h 23m,,5.3,98,,"A boy runs away from home with his duck, Mr. Quack Quack. Together, they meet The Rare Blue Apes and help them in their struggle against the evil Swampies.",https://www.imdb.com/title/tt29266802/?ref_=sr_i_215,"['Fatimah Boudewyn', 'Zain Rahnat', 'Geraldine Lee']",Donn Greer,"['Fatimah Boudewyn', 'Zain Rahnat', 'Geraldine Lee', 'Hugh Boudewyn', 'Owen Evans', 'John Price', 'Peter Kuok', 'Mary Lee', 'Brian Chappel', 'Abu Bakar Bin Aziz']",,,,,1975,['Malaysia'],,,,"['Adventure', 'Family', 'Musical']",['English']
216. The Black Bird,1975,1h 50m,PG,5.4,686,,"The son of famous detective Sam Spade carries on the family tradition of getting involved with the Maltese Falcon - and with the people who will stop at nothing, including murder, to get it.",https://www.imdb.com/title/tt0072706/?ref_=sr_i_216,"['Dashiell Hammett', 'David Giler', 'Gordon Cotler']",David Giler,"['George Segal', 'Stéphane Audran', 'Lionel Stander', 'Lee Patrick', 'Elisha Cook Jr.', 'Felix Silla', 'Richard B. Shull', 'Ken Swofford', 'John Abbott', 'Vic Tayback']",,,,,"April 15, 1976",['United States'],"San Francisco, California, USA","['Columbia Pictures', 'Major Studio Partners', 'Rastar Pictures']",,"['Parody', 'Adventure', 'Comedy', 'Crime', 'Mystery']",['English']
