Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
116. Every Man for Himself,1980,1h 27m,Not Rated,6.5,4.1K,,"An examination of sexual relationships, in which three protagonists interact in different combinations.",https://www.imdb.com/title/tt0079854/?ref_=sr_i_116,"['Isabelle Huppert', 'Jacques Dutronc', 'Nathalie Baye']",Jean-Luc Godard,"['Isabelle Huppert', 'Jacques Dutronc', 'Nathalie Baye', 'Roland Amstutz', 'Cécile Tanner', 'Anna Baldaccini', 'Roger Jendly', 'Fred Personne', 'Michel Cassagne', 'Nicole Jacquet']",,"$7,926","$47,262","$47,262","October 15, 1980","['France', 'Switzerland', 'West Germany', 'Austria']","Lausanne, Canton de Vaud, Switzerland","['Sara Films', 'MK2 Productions', 'Saga-Productions']",1 win & 5 nominations total,"['Dark Comedy', 'Drama']","['French', 'Italian']"
117. The King and the Mockingbird,1980,1h 23m,Not Rated,7.7,5.7K,87.0,A chimney sweep and a shepherdess seek to escape from the clutches of a tyrannical king.,https://www.imdb.com/title/tt0079820/?ref_=sr_i_117,"['Hans Christian Andersen', 'Jacques Prévert', 'Paul Grimault']",Paul Grimault,"['Jean Martin', 'Pascal Mazzotti', 'Raymond Bussières', 'Agnès Viala', 'Renaud Marx', 'Hubert Deschamps', 'Roger Blin', 'Philippe Derrez', 'Albert Médina', 'Claude Piéplu']",,"$3,721","$167,451","$27,513","March 19, 1980",['France'],,"['Les Films Paul Grimault', 'Les Films Gibé', 'France 2 (FR2)']",1 win & 1 nomination total,"['Animation', 'Family', 'Fantasy', 'Romance']",['French']
118. Second-Hand Hearts,1980,1h 42m,PG,4.5,248,28.0,A high-spirited wife and her meekish husband hit the road to take back her kids from her previous marriage who live with her ex-inlaws.,https://www.imdb.com/title/tt0083041/?ref_=sr_i_118,"['Robert Blake', 'Barbara Harris', 'Collin Boone']",Hal Ashby,"['Robert Blake', 'Barbara Harris', 'Collin Boone', 'Amber Rose Gold', 'Jessica Stansbury', 'Erica Stansbury', 'Bert Remsen', 'Sondra Blake', 'Shirley Stoler', 'Woodrow Chambliss']",,,"$19,450","$19,450","January 15, 1982",['United States'],"701 E Yandell Dr, El Paso, Texas, USA","['Caribou Studios', 'Lorimar Productions', 'Northstar International']",,['Comedy'],['English']
119. City of Women,1980,2h 19m,R,6.9,8.4K,,A businessman finds himself trapped at a hotel and threatened by women en masse.,https://www.imdb.com/title/tt0080539/?ref_=sr_i_119,"['Federico Fellini', 'Bernardino Zapponi', 'Brunello Rondi']",Federico Fellini,"['Marcello Mastroianni', 'Anna Prucnal', 'Bernice Stegers', 'Jole Silvani', 'Donatella Damiani', 'Ettore Manni', 'Fiammetta Baralla', 'Hélène Calzarelli', 'Catherine Carrel', 'Marcello Di Falco']",,"$6,244","$12,932","$12,516","April 8, 1981","['Italy', 'France']","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy","['Opera Film Produzione', 'Gaumont']",6 wins total,"['Satire', 'Comedy', 'Drama', 'Fantasy']",['Italian']
120. Gregory's Girl,1980,1h 31m,PG,7.1,9.7K,,Gregory is a normal teen who is infatuated with a classmate. He must work to win her affection.,https://www.imdb.com/title/tt0082477/?ref_=sr_i_120,"['John Gordon Sinclair', 'Dee Hepburn', ""Jake D'Arcy""]",Bill Forsyth,"['John Gordon Sinclair', 'Dee Hepburn', ""Jake D'Arcy"", 'Clare Grogan', 'Robert Buchanan', 'Billy Greenlees', 'Alan Love', 'Caroline Guthrie', 'Carol Macartney', 'Douglas Sannachan']",,"$4,185","$7,710","$7,710","May 26, 1982",['United Kingdom'],"Cumbernauld Field, Abronhill, Cumbernauld, North Lanarkshire, Scotland, UK","['Lake Films', 'National Film Finance Corporation (NFFC)', 'Scottish Television (STV)']",2 wins & 3 nominations total,"['Comedy', 'Drama', 'Romance']","['English', 'Italian']"
121. Breaking Glass,1980,1h 44m,PG,6.8,1.6K,,"A rock singer is determined to rise to the top of the profession, letting nothing stand in the way of that goal.",https://www.imdb.com/title/tt0080469/?ref_=sr_i_121,"['Phil Daniels', ""Hazel O'Connor"", 'Jon Finch']",Brian Gibson,"['Phil Daniels', ""Hazel O'Connor"", 'Jon Finch', 'Jonathan Pryce', 'Peter-Hugo Daly', 'Mark Wingett', 'Gary Tibbs', 'Charles Wegner', 'Mark Wing-Davey', 'Hugh Thomas']",,,"$2,471","$2,471","August 21, 1980",['United Kingdom'],"Camden Palace, Camden High Street, Camden, London, England, UK","['Allied Stars Ltd.', 'Film and General Productions', 'Sprint N.V.']",2 nominations total,"['Drama', 'Musical']",['English']
122. The Apple,1980,1h 30m,PG,4.3,2.8K,39.0,"In 1994, a young couple enters the world of the music industry, and subsequently the world of drugs.",https://www.imdb.com/title/tt0080380/?ref_=sr_i_122,"['Catherine Mary Stewart', 'George Gilmour', 'Grace Kennedy']",Menahem Golan,"['Catherine Mary Stewart', 'George Gilmour', 'Grace Kennedy', 'Allan Love', 'Joss Ackland', 'Vladek Sheybal', 'Ray Shell', 'Miriam Margolyes', 'Derek Deadman', 'Michael Logan']","$5,000,000 (estimated)",,$569,,"November 21, 1980",['West Germany'],"ICC Berlin, West Berlin, Berlin, Germany",['NF Geria II Filmgesellschaft m.b.H.'],2 wins & 5 nominations total,"['Dystopian Sci-Fi', 'Jukebox Musical', 'Steampunk', 'Music', 'Musical', 'Sci-Fi']","['English', 'French', 'German', 'Italian']"
123. Cannibal Holocaust,1980,1h 35m,Unrated,5.8,64K,22.0,"During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew.",https://www.imdb.com/title/tt0078935/?ref_=sr_i_123,"['Robert Kerman', 'Francesca Ciardi', 'Perry Pirkanen']",Ruggero Deodato,"['Robert Kerman', 'Francesca Ciardi', 'Perry Pirkanen', 'Luca Barbareschi', 'Salvatore Basile', 'Ricardo Fuentes', 'Carl Gabriel Yorke', 'Paolo Paoloni', 'Lionello Pio Di Savoia', 'Luigina Rocchi']","$100,000 (estimated)",,,,"June 21, 1985",['Italy'],"Amazon Rainforest, Colombia",['F.D. Cinematografica'],,"['Found Footage Horror', 'Jungle Adventure', 'Splatter Horror', 'Adventure', 'Horror']","['Italian', 'English', 'Spanish']"
124. Humanoids from the Deep,1980,1h 20m,R,5.7,11K,49.0,"Humanoid sea creatures start killing a fishing town's residents, and raping their women. It's up to the townsfolk and a visiting biologist to fight back and fend them off.",https://www.imdb.com/title/tt0080904/?ref_=sr_i_124,"['Doug McClure', 'Ann Turkel', 'Vic Morrow']",Barbara Peeters,"['Doug McClure', 'Ann Turkel', 'Vic Morrow', 'Cindy Weintraub', 'Anthony Pena', 'Denise Galik', 'Lynn Theel', 'Meegan King', 'Breck Costin', 'Hoke Howell']",,,$160,,"May 16, 1980",['United States'],"Fort Bragg, California, USA",['New World Pictures'],,"['Monster Horror', 'Horror', 'Sci-Fi']",['English']
125. Eaten Alive!,1980,1h 32m,Not Rated,5.1,4.8K,,"A young woman works with a mercenary to search for her sister in the jungles of New Guinea, whom they discover to be living with a cult in an area inhabited by cannibals.",https://www.imdb.com/title/tt0081112/?ref_=sr_i_125,"['Robert Kerman', 'Janet Agren', 'Ivan Rassimov']",Umberto Lenzi,"['Robert Kerman', 'Janet Agren', 'Ivan Rassimov', 'Mel Ferrer', 'Paola Senatore', 'Me Me Lai', 'Fiamma Maglione', 'Franco Fantasia', 'Franco Coduti', 'Alfred Joseph Berry']",,,,,"March 20, 1980",['Italy'],Sri Lanka,"['Dania Film', 'National Cinematografica', 'Medusa Distribuzione']",,"['Jungle Adventure', 'Adventure', 'Horror']","['Italian', 'Sinhala']"
126. Tender Cousins,1980,1h 30m,R,5.4,2.3K,,"With Adolf Hitler threatening Europe, against the backdrop of the deceptively peaceful summer of 1939, 14-year-old Julien experiences the intoxicating effects of first love, smitten with his beautiful 16-year-old cousin Julia.",https://www.imdb.com/title/tt0081614/?ref_=sr_i_126,"['Pascal Lainé', 'Josiane Lévêque', ""Claude d'Anna""]",David Hamilton,"['Thierry Tevini', 'Anja Schüte', 'Valérie Dumas', 'Évelyne Dandry', 'Elisa Servier', 'Jean-Yves Chatelais', 'Macha Méril', 'Hannes Kaetner', 'Silke Rein', 'Pierre Vernier']",,,,,"November 19, 1980","['France', 'West Germany']",,"['Stéphan Films', 'Filmédis', 'TV13 Filmproduktion']",,"['Comedy', 'Drama', 'Romance']",['French']
127. Battle Beyond the Stars,1980,1h 44m,PG,5.5,11K,59.0,A farm boy recruits a band of outlaws to save the planet Akir from forces that threaten to wipe them out from the face of the universe. A battle stretching beyond the stars begins here.,https://www.imdb.com/title/tt0080421/?ref_=sr_i_127,"['John Sayles', 'Anne Dyer']",Jimmy T. Murakami,"['George Peppard', 'Robert Vaughn', 'Richard Thomas', 'John Saxon', 'Darlanne Fluegel', 'Sybil Danning', 'Sam Jaffe', 'Morgan Woodward', 'Earl Boen', 'John Gowans']","$2,000,000 (estimated)",,,,"September 8, 1980",['United States'],"Venice, Los Angeles, California, USA","['New World Pictures', 'Orion Pictures']",1 win & 4 nominations total,"['Alien Invasion', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['English']
128. Hangar 18,1980,1h 37m,PG,5.3,3.2K,,"After a UFO crashes in Arizona, due to a space collision with a NASA satellite launch, the U.S. government tries to cover-up the incident for political reasons.",https://www.imdb.com/title/tt0080836/?ref_=sr_i_128,"['Ken Pettus', 'Thomas C. Chapman', 'James L. Conway']",James L. Conway,"['Darren McGavin', 'Robert Vaughn', 'Gary Collins', 'James Hampton', 'Philip Abbott', 'Joseph Campanella', 'Pamela Bellwood', 'Tom Hallick', 'Steven Keats', 'William Schallert']","$11,000,000 (estimated)",,,,"March 13, 1981",['United States'],"Big Spring, Texas, USA",['Sunn Classic Pictures'],,"['Alien Invasion', 'Space Sci-Fi', 'Sci-Fi']",['English']
