Writer,Count,TotalGrossWorldWide,AverageGrossPerFilm,WriterWeight
Leo Rossi,1,17166515.058854837,17166515.058854837,11898921.513085073
Donald Faison,3,124541285.39334494,41513761.797781646,57550293.88913903
Deon Richmond,1,16491712.263745498,16491712.263745498,11431183.858221065
Guy Torry,1,16491712.263745498,16491712.263745498,11431183.858221065
Emilio Echevarría,1,41648458.21398624,41648458.21398624,28868511.385693256
Billy Bob Thornton,11,461547809.4441651,41958891.76765137,104263929.17117187
Paapa Essiedu,1,11611140.550621038,11611140.550621038,8048229.335748224
Jessie Buckley,4,57132660.49341135,14283165.123352837,22987867.45908054
Rory Kinnear,1,11611140.550621038,11611140.550621038,8048229.335748224
Gio Perez,1,190506552.53899914,190506552.53899914,132049079.77060235
Sally Kellerman,1,36500367.21303398,36500367.21303398,25300126.62311717
Martin Mull,1,36500367.21303398,36500367.21303398,25300126.62311717
Alan R. Cohen,1,295933341.1346076,295933341.1346076,205125361.04113775
Alan Freedland,1,295933341.1346076,295933341.1346076,205125361.04113775
James McBride,1,13209212.324528689,13209212.324528689,9155928.280164741
Paul Mones,2,48247259.83587079,24123629.917935394,26502516.27512549
James Coburn,3,27631130.589261457,9210376.863087153,12768293.509086827
Baihe Bai,1,151890537.7624025,151890537.7624025,105282498.0037432
Nathaniel Boyd,1,151890537.7624025,151890537.7624025,105282498.0037432
Bingkun Cao,1,151890537.7624025,151890537.7624025,105282498.0037432
Jim Mallon,1,1956202.3761121733,1956202.3761121733,1355936.1616068187
Trace Beaulieu,1,1956202.3761121733,1956202.3761121733,1355936.1616068187
Michael J. Nelson,1,1956202.3761121733,1956202.3761121733,1355936.1616068187
Norman Cohn,1,8954008.070367025,8954008.070367025,6206445.448685899
Paul Apak Angilirq,1,8954008.070367025,8954008.070367025,6206445.448685899
Zacharias Kunuk,1,8954008.070367025,8954008.070367025,6206445.448685899
Thomas Hardy,1,84364878.28366391,84364878.28366391,58477277.520604596
Roman Polanski,3,209355602.27996418,69785200.75998805,96742830.30319095
Gérard Brach,1,84364878.28366391,84364878.28366391,58477277.520604596
Jerome Benton,1,28052681.54341241,28052681.54341241,19444637.118962325
Prince,3,46739241.50907899,15579747.169692995,21598115.649018973
Naomi Scott,1,1256560694.2426767,1256560694.2426767,870981502.4167589
Mena Massoud,1,1256560694.2426767,1256560694.2426767,870981502.4167589
Mary-Louise Parker,3,55646588.92614184,18548862.975380614,25714184.14795566
Devon Sawa,2,21534937.896816168,10767468.948408084,11829273.70457341
Jonathan Taylor Thomas,3,84597641.09206168,28199213.697353896,39092410.93665648
Scott Bairstow,1,13940207.625831775,13940207.625831775,9662615.612265544
Rock Hudson,1,40676237.86407767,40676237.86407767,28194619.59127113
Edward Asner,3,106237951.31143458,35412650.43714486,49092357.61332375
Carol Channing,1,8107486.243258065,8107486.243258065,5619681.2309428705
Taryn Manning,1,66910747.83788018,66910747.83788018,46378996.2129841
Amanda Peet,4,238658886.33769777,59664721.58442444,96026664.95279787
Clarissa Burt,1,40503048.385263965,40503048.385263965,28074573.79232876
Kenny Morrison,1,40503048.385263965,40503048.385263965,28074573.79232876
Giuseppe Tornatore,4,58026304.56634604,14506576.14158651,23347433.621881317
Fabio Rinaudo,1,743108.9970341207,743108.9970341207,515083.9061429295
Peter Ransley,1,18779.764788927336,18779.764788927336,13017.141015023919
Jere Burns,1,67854561.51975155,67854561.51975155,47033198.00554714
Quentin Tarantino,4,591905940.8359903,147976485.20899758,238158965.44410458
John Mortimer,1,26339646.153817527,26339646.153817527,18257251.468465228
Franco Zeffirelli,2,36439286.21692779,18219643.108463895,20016323.814105675
Jason Alexander,2,283480675.9957245,141740337.99786225,155717677.12442288
Scott Moore,1,145365655.2012983,145365655.2012983,100759794.05302906
Martin Hewitt,1,108917302.01482949,108917302.01482949,75495720.8057751
Brooke Shields,3,169833502.74493653,56611167.58164551,78479742.39484833
Robert Pastorelli,2,43219830.896028504,21609915.448014252,23740918.66826728
Colin Quinn,1,17973392.204933077,17973392.204933077,12458206.131947462
Rebecca De Mornay,4,216644575.7077321,54161143.92693303,87168998.41680594
Lara Flynn Boyle,4,45163301.05962307,11290825.264905768,18171882.244008135
David Harbour,4,647513021.9259992,161878255.4814998,260533001.570619
Kaitlyn Dever,1,206130.95007764307,206130.95007764307,142879.08687246114
Alice Englert,4,81324770.05894855,20331192.514737137,32721792.038214345
Karleen Bennett,1,2163828.1074015787,2163828.1074015787,1499851.3518617668
Cat Power,1,2163828.1074015787,2163828.1074015787,1499851.3518617668
Janis Joplin,2,4286398.799292883,2143199.3996464415,2354545.197517696
Keiko Nobumoto,1,1002883.5772826087,1002883.5772826087,695145.9240233123
Satoshi Kon,1,1002883.5772826087,1002883.5772826087,695145.9240233123
Adam LaVorgna,1,22832719.12439264,22832719.12439264,15826434.885589901
Matt Stuecken,2,146912677.9962043,73456338.99810214,80700036.70388553
Josh Campbell,2,146912677.9962043,73456338.99810214,80700036.70388553
Damien Chazelle,2,172693721.42413735,86346860.71206868,94861722.26619226
Stephen Graham,1,147852791.60362372,147852791.60362372,102483745.63796893
Peter Märthesheimer,1,49772.19033057851,49772.19033057851,34499.45339793347
Rainer Werner Fassbinder,1,49772.19033057851,49772.19033057851,34499.45339793347
Pea Fröhlich,1,49772.19033057851,49772.19033057851,34499.45339793347
Deborah Kaplan,2,66036478.6066208,33018239.3033104,36274243.448801175
Harry Elfont,2,66036478.6066208,33018239.3033104,36274243.448801175
Jennifer Ventimilia,1,24398237.587474857,24398237.587474857,16911569.59438988
Chace Crawford,1,21820985.577525627,21820985.577525627,15125154.630101118
Jake Weber,1,21820985.577525627,21820985.577525627,15125154.630101118
James Hadley Chase,1,494245.0380839895,494245.0380839895,342584.5546536601
William Brookfield,1,494245.0380839895,494245.0380839895,342584.5546536601
Robert Mundi,1,494245.0380839895,494245.0380839895,342584.5546536601
Jeanne Moreau,1,10887373.83592302,10887373.83592302,7546552.478072157
Jane March,2,14949333.76587394,7474666.88293697,8211760.891295111
David Niven,2,75333821.7764837,37666910.88824185,41381331.177989125
Omar Sharif,1,174273126.54655373,174273126.54655373,120796926.31311028
Zuleikha Robinson,1,174273126.54655373,174273126.54655373,120796926.31311028
Doug Richardson,2,630426353.0806632,315213176.5403316,346297069.29731864
David Loughery,3,202158234.42185074,67386078.14061691,93416940.14432155
Patrick Stewart,4,1521209186.1024952,380302296.5256238,612072934.2140942
Rooney Mara,4,462256166.02235496,115564041.50558874,185993149.71320245
Shahkrit Yamnarm,1,60129179.37873602,60129179.37873602,41678371.155754074
Charlie Yeung,1,60129179.37873602,60129179.37873602,41678371.155754074
Woody Norman,1,5059507.160534376,5059507.160534376,3506983.1233472573
Gaby Hoffmann,4,80688475.5142261,20172118.878556523,32465772.897276517
Jon Voight,5,873158381.1349165,174631676.2269833,312897959.50686514
Penn Badgley,1,104846986.19871959,104846986.19871959,72674392.87384997
Philip K. Dick,2,624171297.2872232,312085648.6436116,342861128.7168297
Caroline Case,1,14958648.744438171,14958648.744438171,10368545.202193884
Ruth Sheen,2,30630768.4898015,15315384.24490075,16825669.337121923
Lesley Manville,2,30799298.578025036,15399649.289012518,16918243.95008827
Rose Leslie,2,200081741.1925085,100040870.59625424,109906129.80610108
Susanna Hoffs,1,7242036.971830986,7242036.971830986,5019797.508535532
Dedee Pfeiffer,1,7242036.971830986,7242036.971830986,5019797.508535532
S.S. Wilson,3,504342683.99409527,168114227.99803177,233055806.29769507
John Thomas,3,735763339.6716788,245254446.55722627,339994856.30186236
Jim Thomas,4,930570769.6281036,232642692.4070259,374423969.2106123
Gillian Horvath,1,28034721.51461092,28034721.51461092,19432188.1756358
Eric Bernt,2,65361524.77391197,32680762.386955984,35903487.16135239
Haidar Ali,1,38119936.4422976,38119936.4422976,26422726.468102895
K.P. Saxena,1,38119936.4422976,38119936.4422976,26422726.468102895
Ashutosh Gowariker,3,44239167.40819755,14746389.13606585,20442836.106207702
Larry Clemmons,1,358079500.26465344,358079500.26465344,248201796.02475873
Margery Sharp,1,358079500.26465344,358079500.26465344,248201796.02475873
Ken Anderson,1,358079500.26465344,358079500.26465344,248201796.02475873
Sid Caesar,1,2457305.790452358,2457305.790452358,1703274.5804256795
Elliott Gould,2,4003148.729721777,2001574.3648608886,2198954.193919239
Marla Frazee,1,165013028.4037347,165013028.4037347,114378315.39370689
Tom McGrath,1,165013028.4037347,165013028.4037347,114378315.39370689
Jean-Pierre Jeunet,1,24116138.499018814,24116138.499018814,16716033.406588042
Guillaume Laurant,1,24116138.499018814,24116138.499018814,16716033.406588042
Stéphane Cabel,1,121755922.07473744,121755922.07473744,84394774.10258067
Christophe Gans,1,121755922.07473744,121755922.07473744,84394774.10258067
Dan Baron,1,74080870.74818747,74080870.74818747,51348946.69253187
George Gallo,4,851666238.3356986,212916559.58392465,342675983.1794024
Héctor Alterio,2,15291244.038909527,7645622.019454763,8399574.305084493
Norma Aleandro,2,15291244.038909527,7645622.019454763,8399574.305084493
Ricardo Darín,2,39035556.94197966,19517778.47098983,21442471.2757313
Marco Hofschneider,1,12998764.49943382,12998764.49943382,9010056.963545261
René Hofschneider,1,12998764.49943382,12998764.49943382,9010056.963545261
Solomon Perel,1,12998764.49943382,12998764.49943382,9010056.963545261
Will Berson,1,8408917.217101524,8408917.217101524,5828617.260595903
Kenneth Lucas,1,8408917.217101524,8408917.217101524,5828617.260595903
Shaka King,1,8408917.217101524,8408917.217101524,5828617.260595903
Rémy Girard,4,77611585.11366129,19402896.278415322,31227756.88150813
Maripier Morin,1,4988343.548590839,4988343.548590839,3457656.2663701326
Alexandre Landry,1,4988343.548590839,4988343.548590839,3457656.2663701326
Jamey Sheridan,1,24160090.881838914,24160090.881838914,16746498.876818685
Erica Carlson,1,410003.64639263804,410003.64639263804,284192.87151635386
Alexandra Dahlström,1,410003.64639263804,410003.64639263804,284192.87151635386
Rebecka Liljeberg,1,410003.64639263804,410003.64639263804,284192.87151635386
Tony Morphett,1,855738.3408223202,855738.3408223202,593152.6182380368
Bryan Brown,7,130368765.19335364,18624109.313336235,38727746.58293769
Shawn Mendes,1,115652680.9165878,115652680.9165878,80164329.70153183
Winslow Fegley,1,115652680.9165878,115652680.9165878,80164329.70153183
Brooklynn Prince,2,36490526.61438832,18245263.30719416,20044470.47926886
Bria Vinaite,1,13617460.799828654,13617460.799828654,9438904.55978681
Joey Kern,1,8513715.01376087,8513715.01376087,5901257.5578792235
Vincent Palmo Jr.,1,13140446.417684631,13140446.417684631,9108263.385717135
Holly Gent,1,13140446.417684631,13140446.417684631,9108263.385717135
Parminder Nagra,1,129715911.29295163,129715911.29295163,89912218.18647338
Jonathan Rhys Meyers,4,348188630.7449889,87047157.68624723,140096995.7498757
Sasha Luss,1,37694267.908001736,37694267.908001736,26127675.52370263
Luke Evans,5,375751809.4119352,75150361.88238704,134651372.51868206
Sofia Black-D'Elia,1,42697953.98297168,42697953.98297168,29595966.418975107
Amy Landecker,1,42697953.98297168,42697953.98297168,29595966.418975107
Virginia Gardner,1,42697953.98297168,42697953.98297168,29595966.418975107
Zachery Ty Bryan,1,240268332.13193455,240268332.13193455,166541316.99509093
Lucas Black,1,240268332.13193455,240268332.13193455,166541316.99509093
Alan Arkin,9,236807654.6264428,26311961.62516031,60585530.60552552
Sandra Kay,1,4941337.877335767,4941337.877335767,3425074.417869352
Lizzie Borden,1,4941337.877335767,4941337.877335767,3425074.417869352
Kathryn Hahn,3,396809044.226304,132269681.408768,183364713.4840995
Mila Kunis,2,395813010.1209023,197906505.06045115,217422518.4667691
Richard Matheson,2,896201115.125009,448100557.5625045,492288779.0971991
Mark Protosevich,1,860296580.8398876,860296580.8398876,596312149.4545292
John Glover,3,7332458.33607283,2444152.778690943,3388315.2148147663
William Wheeler,3,367868601.8418709,122622867.28062363,169991389.45548126
Bob Logan,1,153847879.6518195,153847879.6518195,106639224.01578446
Dave Stevens,1,104486624.58158591,104486624.58158591,72424609.23495175
Paul De Meo,1,104486624.58158591,104486624.58158591,72424609.23495175
Danny Bilson,1,104486624.58158591,104486624.58158591,72424609.23495175
Roger Hedden,1,411514.2375303644,411514.2375303644,285239.93350444775
Duane Dell'Amico,1,411514.2375303644,411514.2375303644,285239.93350444775
Nora Ephron,2,162176639.30303398,81088319.65151699,89084624.43660434
Sandra Bullock,14,3041143746.423928,217224553.31599483,588254995.2917175
Adriana Trigiani,1,1303576.1540619086,1303576.1540619086,903570.1358331888
Sharat Katariya,1,35852222.97682984,35852222.97682984,24850867.273196094
Maneesh Sharma,1,35852222.97682984,35852222.97682984,24850867.273196094
Jeffrey M. Howard,1,189159102.25092086,189159102.25092086,131115098.40247619
Bobs Gannaway,1,189159102.25092086,189159102.25092086,131115098.40247619
Marina de Van,2,83416766.41173401,41708383.20586701,45821342.330444105
Emmanuèle Bernheim,1,11557596.354668992,11557596.354668992,8011115.327288713
François Ozon,2,83416766.41173401,41708383.20586701,45821342.330444105
Ray Müller,1,948281.1232802768,948281.1232802768,657298.3869799417
Tasha Smith,1,16654167.874725388,16654167.874725388,11543789.50693792
Alistair Petrie,1,5159579.677004834,5159579.677004834,3576348.1059902934
Kelly Reilly,3,83250920.3472967,27750306.782432232,38470093.81183286
Boyd Holbrook,1,5159579.677004834,5159579.677004834,3576348.1059902934
Steve Allrich,1,36756056.35538676,36756056.35538676,25477356.831238788
Mark Williams,2,53312869.93217171,26656434.966085855,29285087.025824208
Louis Per Bruno,1,36756056.35538676,36756056.35538676,25477356.831238788
Jim Jennewein,1,23317197.843920168,23317197.843920168,16162249.944071699
Richard Siegel,1,23317197.843920168,23317197.843920168,16162249.944071699
Lynn Collins,1,34777292.619184755,34777292.619184755,24105782.32649611
Alexander Held,1,16856612.33553507,16856612.33553507,11684113.31416813
Fabian Hinrichs,1,16856612.33553507,16856612.33553507,11684113.31416813
Julia Jentsch,1,16856612.33553507,16856612.33553507,11684113.31416813
Michael Jelenic,1,63572141.3169366,63572141.3169366,44064850.51599301
Aaron Horvath,1,63572141.3169366,63572141.3169366,44064850.51599301
Johnston McCulley,1,467873702.66960734,467873702.66960734,324305337.86358047
Eliot Wald,1,72929912.9503123,72929912.9503123,50551163.539991215
Andrew Kurtzman,2,74032183.16425596,37016091.58212798,40666333.09058997
Hugh Wilson,2,112700254.31577414,56350127.15788707,61906942.163665324
Clotilde Courau,1,178120.9871418685,178120.9871418685,123464.06003594042
Hannah Taylor Gordon,1,9064977.776122449,9064977.776122449,6283363.787357839
Éva Igó,1,9064977.776122449,9064977.776122449,6283363.787357839
Cliff Hollingsworth,1,169341156.99704042,169341156.99704042,117378345.52525762
Thornton Wilder,1,3145838.2327303467,3145838.2327303467,2180528.9015147206
Janet Roach,2,78634722.29284187,39317361.14642093,43194536.113460116
Jack Griffin Mazeika,1,516421.2872269939,516421.2872269939,357955.9592225285
Joshua Peace,1,516421.2872269939,516421.2872269939,357955.9592225285
Daniel MacIvor,1,516421.2872269939,516421.2872269939,357955.9592225285
Basharat Peer,1,1807478.1677226953,1807478.1677226953,1252848.395880642
William Shakespeare,2,8139189.049979936,4069594.524989968,4470906.555050438
Vishal Bhardwaj,2,26694715.315976664,13347357.657988332,14663571.144314384
Kemp Powers,1,143605919.21024224,143605919.21024224,99540038.01229869
Mike Jones,1,143605919.21024224,143605919.21024224,99540038.01229869
Jeff Jensen,1,268730032.4910703,268730032.4910703,186269464.35296786
Damon Lindelof,5,2359054616.28899,471810923.257798,845371689.4323907
Milo Ventimiglia,1,40244575.86717359,40244575.86717359,27895414.29516219
Jackie Minns,1,40244575.86717359,40244575.86717359,27895414.29516219
Laurie Frank,1,4968896.917006414,4968896.917006414,3444176.8885160005
Allan Moyle,1,4968896.917006414,4968896.917006414,3444176.8885160005
Sarah Gadon,2,288788381.0634913,144394190.53174564,158633232.1304602
John Dye,1,31457597.79311307,31457597.79311307,21804745.21748508
Jeff Speakman,1,31457597.79311307,31457597.79311307,21804745.21748508
Mako,2,172245957.65764606,86122978.82882303,94615762.87804843
Marsha Mason,2,149839837.41899824,74919918.70949912,82307943.36027157
Phoebe Cates,5,106471564.1473768,21294312.82947536,38154286.65291694
Rik Mayall,1,31061612.711571224,31061612.711571224,21530269.274670552
E. Jack Kaplan,1,43332549.210337795,43332549.210337795,30035834.311620727
Richard Chapman,1,43332549.210337795,43332549.210337795,30035834.311620727
Michael Jai White,1,1179334.6136754851,1179334.6136754851,817452.4624059148
Tammy Lauren,1,29879342.005221184,29879342.005221184,20710781.667905405
Angus Scrimm,1,29879342.005221184,29879342.005221184,20710781.667905405
Andrew Divoff,1,29879342.005221184,29879342.005221184,20710781.667905405
Jimmy Kimmel,1,656300084.1672323,656300084.1672323,454912552.94177186
Steve Buscemi,5,776814632.3332458,155362926.46664914,278372994.6636006
Tetsurô Sayama,1,83287973.10172091,83287973.10172091,57730823.73001041
Chizuru Takahashi,1,83287973.10172091,83287973.10172091,57730823.73001041
Seth Grahame-Smith,2,542830606.1554375,271415303.07771873,298180187.29376125
Tracy Keenan Wynn,1,238061585.94438943,238061585.94438943,165011717.09698263
Peter Benchley,2,296179898.14409816,148089949.07204908,162693437.87878767
Steven Soderbergh,1,2238282.0399003117,2238282.0399003117,1551458.885254864
Ole Bornedal,1,2238282.0399003117,2238282.0399003117,1551458.885254864
Émilie Dequenne,2,5966808.632204305,2983404.3161021527,3277604.6437353026
Gustav De Waele,1,5430759.901207907,5430759.901207907,3764315.9138202677
Eden Dambrine,1,5430759.901207907,5430759.901207907,3764315.9138202677
Chris Pine,3,612685051.9617949,204228350.65393162,283120610.8923611
John Wilcox,2,26682313.06334099,13341156.531670496,14656758.510738024
Paul Andersen,1,11673622.244325241,11673622.244325241,8091538.345575902
Ruth Harkness,1,11673622.244325241,11673622.244325241,8091538.345575902
Fred Ward,5,200448766.03417352,40089753.2068347,71831194.92736186
James D. Solomon,1,21834457.69842609,21834457.69842609,15134492.792719437
David Ashton,1,2431031.135680684,2431031.135680684,1685062.377550508
Jenny Agutter,2,105739030.79097222,52869515.39548611,58083099.30940886
Jeffrey Wright,2,122581209.24335566,61290604.62167783,67334611.41727372
Shahid Kapoor,3,21024202.76315587,7008067.587718624,9715244.579201402
Anupam Kher,1,1995785.299045519,1995785.299045519,1383372.9530363888
Sonam Kapoor,5,94346164.71732561,18869232.94346512,33809126.80352359
Fred Willard,4,322810053.64256144,80702513.41064036,129885684.711806
Kali Hawk,1,28219043.489681553,28219043.489681553,19559950.432971247
Earl Lynn Nelson,1,936483.4540923223,936483.4540923223,649120.8658451322
Paul Eenhoorn,1,936483.4540923223,936483.4540923223,649120.8658451322
Daníel Gylfason,1,936483.4540923223,936483.4540923223,649120.8658451322
Ari Handel,1,24890560.757867064,24890560.757867064,17252822.01187157
Marie Weiss,1,23519196.933103915,23519196.933103915,16302265.04321509
Hing-Ka Chan,1,703092343.5235473,703092343.5235473,487346475.5866313
Chi-Keung Fung,1,703092343.5235473,703092343.5235473,487346475.5866313
Terry Robbins,1,67775333.25900893,67775333.25900893,46978281.159992725
Olatunde Osunsanmi,1,67775333.25900893,67775333.25900893,46978281.159992725
Hal E. Chester,1,36985295.54199405,36985295.54199405,25636253.32710949
David Wagner,2,58179860.224626586,29089930.112313293,31958554.69788387
Brent Goldberg,2,58179860.224626586,29089930.112313293,31958554.69788387
Stuart Blumberg,1,49006730.846183166,49006730.846183166,33968877.314491965
Ana Claudia Talancón,1,64884843.33800273,64884843.33800273,44974746.22081034
Shannyn Sossamon,3,245181512.0387822,81727170.67959407,113297915.86340411
Edward Burns,3,89466444.67541203,29822148.22513734,41342275.92098945
Douglas Barr,1,35831213.71267024,35831213.71267024,24836304.760978226
Royal Dano,2,56752653.85351531,28376326.926757656,31174581.46899974
Ariana Richards,1,35831213.71267024,35831213.71267024,24836304.760978226
Brad Davis,2,4246027.618546821,2123013.8092734106,2332369.0598798636
Jameson Parker,2,40876378.41763076,20438189.20881538,22453645.82292853
D.J. Caruso,1,9853787.083753908,9853787.083753908,6830124.734942026
Francine Rivers,1,9853787.083753908,9853787.083753908,6830124.734942026
Jim Brown,2,9340101.400707755,4670050.700353878,5130575.088111882
Chris Weitz,2,1565173633.1989024,782586816.5994512,859759493.6658133
John Knoll,1,1344058124.3750558,1344058124.3750558,931630099.4192582
Daniel Geller,1,2077158.058504864,2077158.058504864,1439776.2518300165
Celeste Schaefer Snyder,1,2077158.058504864,2077158.058504864,1439776.2518300165
Dayna Goldfine,1,2077158.058504864,2077158.058504864,1439776.2518300165
Jon Hamm,3,96627600.99352604,32209200.331175346,44651432.79528929
Khalid Benchagra,1,9112211.798444487,9112211.798444487,6316103.916756865
Jay Potter,1,9112211.798444487,9112211.798444487,6316103.916756865
Elle Macpherson,1,82226433.68466043,82226433.68466043,56995020.676021695
David Levien,1,132734384.59934783,132734384.59934783,92004464.44839737
Brian Koppelman,1,132734384.59934783,132734384.59934783,92004464.44839737
John Grisham,1,132734384.59934783,132734384.59934783,92004464.44839737
Ron Howard,2,342569964.91265106,171284982.45632553,188175786.59082082
Bob Dolman,1,299237431.33057725,299237431.33057725,207415581.84478986
Geoffrey Rush,2,126523789.37727138,63261894.68863569,69500294.909363
Yael Grobglas,1,2732406.663653343,2732406.663653343,1893959.9750545213
Jodie Turner-Smith,1,820035.9903605564,820035.9903605564,568405.6346761022
Malea Emma Tjandrawidjaja,1,820035.9903605564,820035.9903605564,568405.6346761022
Ralph Waite,1,63644638.9890631,63644638.9890631,44115102.07302465
Madina Nalwanga,1,13162902.450561859,13162902.450561859,9123828.721592547
Lupita Nyong'o,1,13162902.450561859,13162902.450561859,9123828.721592547
Ray McAnally,1,48661815.72164234,48661815.72164234,33729800.368384
Jennifer Hom,1,1358605.207987924,1358605.207987924,941713.3694108876
Hedy Lamarr,1,1358605.207987924,1358605.207987924,941713.3694108876
Iman Vellani,1,206136825.0,206136825.0,142883159.05832884
Teyonah Parris,1,206136825.0,206136825.0,142883159.05832884
Abby Kohn,4,959757544.4385395,239939386.10963488,386167544.6910103
Marc Silverstein,4,959757544.4385395,239939386.10963488,386167544.6910103
Jason Katims,1,260270310.67074925,260270310.67074925,180405632.02489087
Pascal Elbé,1,5070189.309433173,5070189.309433173,3514387.42473878
Emmanuelle Devos,3,32692931.80026742,10897643.933422474,15107342.33439596
Jules Sitruk,1,5070189.309433173,5070189.309433173,3514387.42473878
Michael Kitchen,1,6282786.27752025,6282786.27752025,4354895.594323875
Natascha McElhone,4,93039746.26969096,23259936.56742274,37435423.752422445
Anne Parillaud,2,17797955.96606859,8898977.983034294,9776526.568748426
Nikolaj Arcel,1,27343660.68186342,27343660.68186342,18953181.30782146
Fabian Wullenweber,1,27343660.68186342,27343660.68186342,18953181.30782146
Erlend Loe,1,27343660.68186342,27343660.68186342,18953181.30782146
Tommy the Clown,1,7249955.822211981,7249955.822211981,5025286.437350394
Dragon,1,7249955.822211981,7249955.822211981,5025286.437350394
Larry Berry,1,7249955.822211981,7249955.822211981,5025286.437350394
Brendan Fraser,8,984109930.0810397,123013741.26012996,270288815.6468361
Chow Yun-Fat,3,255413357.92914647,85137785.97638215,118026032.61729068
Dave Krinsky,1,6192962.854185665,6192962.854185665,4292634.741691265
John Altschuler,1,6192962.854185665,6192962.854185665,4292634.741691265
Common,2,34038957.45768816,17019478.72884408,18697808.478233606
Christopher Miller,2,583030957.2501465,291515478.62507325,320262487.15447116
Judi Barrett,1,345136063.4830915,345136063.4830915,239230089.31286314
André Christian,1,9106104.3627544,9106104.3627544,6311870.56492783
Brooke Xtravaganza,1,9106104.3627544,9106104.3627544,6311870.56492783
Dorian Corey,1,9106104.3627544,9106104.3627544,6311870.56492783
Tom Selleck,2,69118200.08713458,34559100.04356729,37967051.99317364
Laila Robins,2,58562741.317354545,29281370.658677272,32168873.634668674
Hermione Norris,1,5385756.846625703,5385756.846625703,3733122.173420028
Shailene Woodley,2,380873177.3365957,190436588.66829786,209215976.52302614
Theo James,2,372110247.20383465,186055123.60191733,204402445.15873045
Jared Stern,1,122286329.89130184,122286329.89130184,84762424.78517923
Michael Kenworthy,1,23711440.86769231,23711440.86769231,16435518.384454787
Thom Mathews,1,23711440.86769231,23711440.86769231,16435518.384454787
Robert King,2,381989829.12187934,190994914.56093967,209829360.209764
Arjan Bajwa,1,2105675.7052419307,2105675.7052419307,1459543.1782620186
Kathryn Mullen,1,140907396.97570986,140907396.97570986,97669564.93375425
Grey Damon,1,52197756.79155101,52197756.79155101,36180727.951617315
Shay Mitchell,1,52197756.79155101,52197756.79155101,36180727.951617315
Kirby Johnson,1,52197756.79155101,52197756.79155101,36180727.951617315
Sam Bould,1,516055.27000637347,516055.27000637347,357702.2554180191
Neil LaBute,1,1368868.7670326089,1368868.7670326089,948827.5264252214
Mae Whitman,2,245595699.42128396,122797849.71064198,134907226.71413097
Robbie Amell,1,56191945.79413291,56191945.79413291,38949288.7973805
Bella Thorne,1,56191945.79413291,56191945.79413291,38949288.7973805
Jackson Rathbone,1,446754315.2605844,446754315.2605844,309666494.02586305
Noah Ringer,1,446754315.2605844,446754315.2605844,309666494.02586305
Nicola Peltz Beckham,2,1869332438.040922,934666219.020461,1026835794.0188373
D.B. Sweeney,2,62242210.5360015,31121105.26800075,34190028.684359476
Roy Dotrice,1,54523886.25042052,54523886.25042052,37793078.02765015
Moira Kelly,3,68434205.27332678,22811401.757775594,31623317.626044665
Elle Russ,1,81985481.60082583,81985481.60082583,56828005.418461695
Neal Israel,6,461152042.1451554,76858673.69085923,149560073.17797357
Stephen Curwick,1,50252316.6901268,50252316.6901268,34832251.63036687
Rachel Griffiths,4,147962082.44554305,36990520.61138576,59533946.27263926
Doug McKeon,2,49875507.227932855,24937753.613966428,27396922.57208108
Adam Marcus,1,33601709.96357094,33601709.96357094,23290930.523242217
Dean Lorey,1,33601709.96357094,33601709.96357094,23290930.523242217
Jay Huguely,1,33601709.96357094,33601709.96357094,23290930.523242217
Kathryn Grody,1,8536337.10733871,8536337.10733871,5916937.998261066
Jeremy Renner,6,1119555731.196912,186592621.86615202,363092476.6281856
Dane DeHaan,1,280901308.1130874,280901308.1130874,194705949.73418704
Lily James,2,208407828.18639264,104203914.09319632,114479700.5501015
Kabir Khan,2,163072680.72287983,81536340.36143991,89576825.49410348
Neelesh Misra,1,7356458.949859316,7356458.949859316,5099108.779999961
Leo Benvenuti,3,799305290.9945205,266435096.9981735,369357472.572999
Steve Rudnick,2,631888285.490334,315944142.745167,347100117.7525519
Timothy Harris,2,631888285.490334,315944142.745167,347100117.7525519
Ashwani Dhir,1,15493900.620697344,15493900.620697344,10739553.53111235
Robert Silverberg,1,159893309.09016806,159893309.09016806,110829596.38624986
Isaac Asimov,2,729510063.9255095,364755031.9627547,400724360.4678115
Ricky Schroder,1,127763890.5244628,127763890.5244628,88559180.4944009
Jean Shepherd,1,63610179.956606425,63610179.956606425,44091216.891832486
Bob Clark,2,89140618.7249515,44570309.36247575,48965489.575355165
Leigh Brown,1,63610179.956606425,63610179.956606425,44091216.891832486
Matt Keeslar,1,40697540.66532087,40697540.66532087,28209385.567890882
Maryana Spivak,1,4883234.90256201,4883234.90256201,3384800.5047227764
Aleksey Rozin,1,4883234.90256201,4883234.90256201,3384800.5047227764
Matvey Novikov,1,4883234.90256201,4883234.90256201,3384800.5047227764
Chris Klein,1,19239662.84492451,19239662.84492451,13335918.05588336
Sumit Arora,1,28499044.0,28499044.0,19754031.997253824
Ramanagirivasan,1,28499044.0,28499044.0,19754031.997253824
Atlee,1,28499044.0,28499044.0,19754031.997253824
James Bonfanti,1,34517629.15017621,34517629.15017621,23925797.325058423
Jennifer Baxter,1,22033884.24070017,22033884.24070017,15272724.738225535
Ciarán Hinds,3,190737024.29273653,63579008.097578846,88139220.41126941
Chris Eigeman,2,6219468.563666725,3109734.2818333623,3416392.296514631
