Company,TotalBudget,TotalGrossWorldWide,Count,AverageGrossPerFilm,AverageBudgetPerFilm,Production-Weight
FM Entertainment,30375277.25856698,2675971.5967741935,1,2675971.5967741935,30375277.25856698,163406.07905057078
Lion Screen Entertainment,30375277.25856698,2675971.5967741935,1,2675971.5967741935,30375277.25856698,163406.07905057078
Hemdale,427825343.76144946,536585242.00912654,21,25551678.190910786,20372635.41721188,99059610.23685765
City Films,127075342.68342148,184911650.74392068,5,36982330.14878414,25415068.536684297,96422184.34887318
Babe Film,9047648.633467836,33173210.72653752,1,33173210.72653752,9047648.633467836,84307216.27984671
Indigo Film,45530117.65849002,67390136.42430185,3,22463378.808100615,15176705.886163339,46092270.34557264
Oddball Entertainment,3480603.785900783,4596546.270226827,1,4596546.270226827,3480603.785900783,4207597.0818343405
Scott Free Productions,2480576692.394799,5285231400.639037,26,203278130.79380912,95406795.86133844,1427472379.3907104
Cinelou Films,31533596.57823923,9835338.97841299,3,3278446.3261376633,10511198.859413076,1417553.1781710861
STX Entertainment,307385127.77638227,936797134.1167431,9,104088570.4574159,34153903.0862647,730434764.5733591
SLB Films Pvt. Ltd.,30375277.25856698,27224570.11585689,1,27224570.11585689,30375277.25856698,16913257.92927077
SPE Films,30375277.25856698,27224570.11585689,1,27224570.11585689,30375277.25856698,16913257.92927077
British Film Institute (BFI),521556407.44693273,299917324.89391106,19,15785122.362837425,27450337.234049093,27192630.38157551
Quiddity Films,30375277.25856698,4021456.3155120923,1,4021456.3155120923,30375277.25856698,369038.70792465983
BBC Film,1618084368.3451498,1962166475.2271118,56,35038687.057627,28894363.7204491,171787579.93516922
Le Vision Pictures,177737649.31856155,191297589.74749905,1,191297589.74749905,177737649.31856155,142713489.52240556
Pyramania,177737649.31856155,191297589.74749905,1,191297589.74749905,177737649.31856155,142713489.52240556
Summit Entertainment,3470093695.1321955,8817259171.137377,54,163282577.24328476,64260994.35429992,1662599726.5795002
Little Tokyo Productions,17897327.45961821,5090798.597753305,1,5090798.597753305,17897327.45961821,1003711.9814290077
Original Pictures,30020130.826106355,10825572.326062411,2,5412786.163031206,15010065.413053177,2144389.1846224726
Galatée Films,91125831.77570094,79815238.03719959,3,26605079.345733196,30375277.25856698,32304596.65218063
France 2 Cinéma,561398522.8744094,593033106.2276804,25,23721324.24910722,22455940.914976377,81641420.29158475
Trimark Pictures,209951297.65030032,103042776.9676366,10,10304277.69676366,20995129.765030034,12126815.126995048
Eros Worldwide,535885038.6636959,395565210.2594987,22,17980236.829977214,24358410.848349813,41614805.41369109
Vijay Galani Moviez,30375277.25856698,8633716.134442529,1,8633716.134442529,30375277.25856698,1700986.008369664
Peerford Ltd.,50280858.08580858,137743834.17223322,1,137743834.17223322,50280858.08580858,261557462.63582224
Charles H. Schneer Productions,50280858.08580858,137743834.17223322,1,137743834.17223322,50280858.08580858,261557462.63582224
Gondola Pictures,30375277.25856698,58805526.42134152,1,58805526.42134152,30375277.25856698,78911717.25049077
BRON Studios,733727741.3694592,951335203.0289396,18,52851955.72382998,40762652.298303284,201772627.2596592
Stage 6 Films,262910573.67402193,339589408.1699759,11,30871764.379088715,23900961.243092902,99087212.81841055
Fries Entertainment,74606212.74243794,61549090.802122444,2,30774545.401061222,37303106.37121897,27892198.448862944
New World Pictures,467379812.95657134,363274343.2686875,20,18163717.163434375,23368990.647828568,42982204.453225
Dune Entertainment,1400596238.509526,4401929657.107685,16,275120603.5692303,87537264.90684538,2449810754.14114
Major Studio Partners,438920762.68008524,1219149152.7702727,14,87082082.34073377,31351483.048577517,655022521.4266245
Bavaria Entertainment,30375277.25856698,2985872.9293757505,1,2985872.9293757505,30375277.25856698,203445.38986888202
AMLF,151363167.99491075,137371924.62872434,4,34342981.157181084,37840791.99872769,50163749.80928805
HDNet Films,33314401.989687543,4968504.629581496,2,2484252.314790748,16657200.994843772,407036.94745834474
Diverse Productions,30375277.25856698,2111454.9565774747,1,2111454.9565774747,30375277.25856698,101734.63996976841
BBC Storyville,64674430.01706634,15112251.927493688,4,3778062.981873422,16168607.504266584,1420823.0561559498
Jack Rollins & Charles H. Joffe Productions,408965898.91646034,703314369.2324305,13,54101105.325571574,31458915.30126618,245537232.71900743
Illuminati Films,61933383.350520834,43106756.36397441,3,14368918.78799147,20644461.116840277,13864368.28273345
Sony Pictures Animation,1599172185.293306,5492362296.408703,16,343272643.5255439,99948261.58083163,3340276536.3839493
Hemisphere Media Capital,705692001.2406919,2046380008.670673,4,511595002.1676682,176423000.31017298,2387655197.1295047
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,508631494.6946855,1062395245.131808,2,531197622.565904,254315747.34734276,1218943133.092942
C-2 Pictures,555558221.1366756,863077974.4130117,3,287692658.1376706,185186073.7122252,619590414.9445078
Filmax International,24826977.725210577,15233761.667443713,2,7616880.833721857,12413488.862605289,5134579.893784183
Canal+ España,184424793.22386155,166054804.8384696,8,20756850.6048087,23053099.152982693,41064642.76584758
Filmax Group,29293528.64488437,21619290.053483885,2,10809645.026741942,14646764.322442185,8764469.302176535
Legendary Entertainment,5162093692.509587,15459563687.54427,40,386489092.18860674,129052342.31273969,4298336856.9285
Toho,255174957.2494422,477559829.3772885,3,159186609.7924295,85058319.08314739,413001594.17803687
Suftley,39987139.10761155,15122592.185406825,1,15122592.185406825,39987139.10761155,3964218.7261856073
Don Bluth Ireland,143925801.02406797,31496129.06316693,3,10498709.68772231,47975267.00802266,3185003.468362931
Sprint N.V.,30375277.25856698,9137.362160194174,1,9137.362160194174,30375277.25856698,1.9052277014084376
Allied Stars Ltd.,122345697.20607354,20767275.01120219,2,10383637.505601095,61172848.60303677,1936354.1244495874
Film and General Productions,30375277.25856698,9137.362160194174,1,9137.362160194174,30375277.25856698,1.9052277014084376
Marvel Entertainment,3992333462.601511,12953969997.726786,20,647698499.8863393,199616673.13007554,6398352287.375407
TSG Entertainment,2947456187.590183,9227332995.754112,33,279616151.38648826,89316854.16939948,3086866164.869118
Ron Bass Productions,30375277.25856698,1361200.4468292685,1,1361200.4468292685,30375277.25856698,42281.40167867534
HBO Documentary Films,63870902.69941762,12725026.83105353,3,4241675.610351177,21290300.899805874,1171516.9088667366
Imagine Entertainment,4023782863.4786673,10145048780.890404,57,177983311.9454457,70592681.81541522,1822100411.6949298
World of Wonder Productions,41775571.09302456,4225274.523029743,3,1408424.8410099142,13925190.36434152,197479.34060579975
G-BASE,388243935.7745869,956252321.6045525,7,136607474.51493606,55463419.39636956,699663148.24342
Di Bonaventura Pictures,1496373822.7987645,5159945803.944779,15,343996386.929652,99758254.85325097,3288852310.756882
Overbrook Entertainment,350710705.3641997,1456758897.0587788,4,364189724.2646947,87677676.34104992,2434672619.8440833
Bulbul Films,1560174.091141833,4225087.173958013,1,4225087.173958013,1560174.091141833,7930923.255002063
Cornelius Productions,68595961.93384778,162717331.52430564,2,81358665.76215282,34297980.96692389,212023272.3649011
Picturehouse,65136075.07395755,140661731.543706,4,35165432.8859265,16284018.768489387,122220644.38072997
HBO Films,365498969.58414966,625014497.8164994,11,56819499.80149994,33227179.053104516,241441221.08692643
Base Camp ATl.,27347601.174934722,49898149.6831919,1,49898149.6831919,27347601.174934722,63106647.077385046
The Geffen Company,163142122.93222716,170765940.19969583,4,42691485.04992396,40785530.73305679,71920158.19147003
ABC Entertainment,42835210.34406884,75193914.96693309,2,37596957.48346654,21417605.17203442,72506834.79597214
DIC Entertainment,135989929.93521014,47840515.71651859,4,11960128.929129647,33997482.483802535,6771723.103723923
Xin Huamian Film,60750554.51713396,13484939.996110443,2,6742469.9980552215,30375277.25856698,1644228.7854226676
Guangxi Film Studio,60750554.51713396,13484939.996110443,2,6742469.9980552215,30375277.25856698,1644228.7854226676
Columbia Pictures Film Production Asia,123386498.79528803,474878401.7973245,4,118719600.44933112,30846624.698822007,735379350.2821935
Westerly Films,18763363.300472245,32817466.105165884,2,16408733.052582942,9381681.650236122,31529265.968554523
Chic Films,22272266.928833745,52557039.975448176,2,26278519.987724088,11136133.464416873,68125833.58992621
Blinder Films,3808663.913969176,27170943.614969563,1,27170943.614969563,3808663.913969176,134357604.58683798
GK Films,587888416.6325015,1057919324.9144498,7,151131332.13063568,83984059.51892878,565534199.844779
Avi Arad Productions,718409186.7834941,2835403806.094114,5,567080761.2188227,143681837.3566988,4010215051.4977484
Price,60750554.51713396,82170828.70444413,2,41085414.35222206,30375277.25856698,61051950.62372387
The Rank Organisation,210670267.79561874,110791004.32594669,8,13848875.540743336,26333783.474452343,16002587.57248198
BiBi Film,7354508.6438442655,10810834.114466008,1,10810834.114466008,7354508.6438442655,11015144.662849275
MK2 Productions,350483375.1244316,85484144.2511609,14,6106010.30365435,25034526.794602256,4033038.7039212263
France 3 Cinéma,695031847.6387588,380715199.2427791,30,12690506.64142597,23167728.254625294,23871139.103146695
Yorktown Productions,104981490.00100492,66270286.08812472,3,22090095.36270824,34993830.00033497,19331215.419209223
The Fields Company,30375277.25856698,4100554.8194719474,1,4100554.8194719474,30375277.25856698,383698.812231433
CNN Films,93285846.63694008,28053991.30808638,5,5610798.261617276,18657169.327388015,3023314.053101536
Jigsaw Productions,60750554.51713396,2799550.3012189,2,1399775.15060945,30375277.25856698,70866.46355714288
Nickelodeon Movies,1669952026.936195,3400516031.5670695,20,170025801.57835346,83497601.34680974,1054083078.3399547
Walden Media,1242564320.4664373,2519325222.4465113,22,114514782.83847779,56480196.38483806,728002571.8035573
Paramount Players,105292158.82212615,270701772.6019953,3,90233924.2006651,35097386.27404205,321603207.1379577
Silver Screen Partners II,512201744.0216062,1002396375.7387747,12,83533031.31156455,42683478.66846719,419310242.8042168
Dimension Films,1957841833.7935524,4025992187.274983,45,89466493.05055517,43507596.30652339,704369315.6023113
Aja / Levasseur Productions,33536559.41592985,116243534.92602818,1,116243534.92602818,33536559.41592985,279283045.7794681
Intellectual Properties Worldwide (I),47248349.96761356,134101065.80938886,3,44700355.26979629,15749449.98920452,175878200.97495282
21 Laps Entertainment,642425645.3974216,1513817665.1043577,13,116447512.7003352,49417357.3382632,724152010.1521369
Touchwood Pacific Partners 1,844673521.4473556,1519401034.3428535,19,79968475.49172914,44456501.12880819,430928633.68818516
