Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
Bertrand Blier,2,6939465.0069272425,3469732.5034636213,3811890.766696299
John Cornell,1,16179153.986931907,16179153.986931907,11214534.96988705
Russell Crowe,1,45558881.226268925,45558881.226268925,31579010.071453728
Andrew Graham-Brown,1,1706273.7650296302,1706273.7650296302,1182698.8494936908
Steve Beck,2,233565924.5281446,116782962.2640723,128299197.45037396
Chuck Konzelman,2,31599803.771009594,15799901.885504797,17357966.37116601
François Girard,3,33217588.789960805,11072529.596653601,15349785.343173984
Amma Asante,2,40079207.21674278,20039603.60837139,22015754.784194604
Pitof,1,132917785.52704076,132917785.52704076,92131588.2843398
Jules Bass,1,20388564.395170983,20388564.395170983,14132275.926177653
Tod Williams,1,10831627.025060879,10831627.025060879,7507911.7332978565
David Anspaugh,4,149852315.2908588,37463078.8227147,60294499.3737841
Jonathan Baker,1,12514177.284336954,12514177.284336954,8674166.701665472
Rick Moranis,1,26222036.150080323,26222036.150080323,18175730.42596914
Brian Vincent,1,79938.59275196516,79938.59275196516,55409.210183954325
Michael Schorr,1,6680644.3416521745,6680644.3416521745,4630669.789739956
Friz Freleng,1,247392.76373056995,247392.76373056995,171479.59667077725
Rose Troche,1,254321.48710429447,254321.48710429447,176282.2217421542
Anthony DiBlasi,1,704776.0,704776.0,488513.497326316
Dorothy Ann Puzo,1,766811.0147007043,766811.0147007043,531512.8928621039
Jennifer Kent,1,13753194.096749121,13753194.096749121,9532987.711855337
John Erman,1,47185979.20318286,47185979.20318286,32706828.446646415
Hark Tsui,3,1032652480.5681041,344217493.5227014,477186770.2693434
John Pasquin,4,705895320.0064958,176473830.00162396,284023672.55706394
Kirk DeMicco,2,860258217.7055824,430129108.8527912,472545124.6995394
Paolo Taviani,2,7620249.6134688025,3810124.8067344013,4185849.93403762
Chris Butler,1,31662050.984013736,31662050.984013736,21946461.370314363
Vic Sarin,1,7474338.2905342635,7474338.2905342635,5180816.512635066
Greg McLean,2,27908521.85122101,13954260.925610505,15330322.532156933
Carl Franklin,5,284030714.81132454,56806142.96226491,101782944.56296079
Forest Whitaker,3,332235912.19925165,110745304.06641722,153525590.54778188
Emil Ben-Shimon,1,1615529.8592707713,1615529.8592707713,1119799.9670639404
Domee Shi,1,22711294.21781962,22711294.21781962,15742269.553949058
Barbara Trent,1,672377.1945260155,672377.1945260155,466056.35665851354
Don Scardino,1,35888070.40124144,35888070.40124144,24875714.814357325
Michael Lembeck,5,638234623.1744592,127646924.63489184,228712585.93240732
Frank Pavich,1,866842.3128388502,866842.3128388502,600849.3051343111
Andy Cheng,1,12149429.040223397,12149429.040223397,8421342.48464397
Larry Brand,2,1350820.047607959,675410.0238039795,742013.7520406725
John Lee Hancock,5,397795399.0617469,79559079.81234938,142550734.61684757
Byambasuren Davaa,1,15448146.313608697,15448146.313608697,10707839.06215538
Bryan Buckley,1,791674.7188260758,791674.7188260758,548747.0992748819
Joanna Hogg,1,2118477.2533981074,2118477.2533981074,1468416.5352732749
Anthony Geffen,1,1255017.7026727078,1255017.7026727078,869911.9821604071
James Scott,1,1262697.2108033665,1262697.2108033665,875235.0115692604
Sean Baker,3,17301781.38552287,5767260.4618409565,7995120.657359813
Hsiao-Hsien Hou,1,15416132.714691352,15416132.714691352,10685648.926326247
David S. Ward,6,440993134.3098665,73498855.71831109,143022169.2862137
Michael John Warren,1,3364016.3671142925,3364016.3671142925,2331758.4602227816
John Erick Dowdle,4,269971449.7771606,67492862.44429015,108625571.63654022
Will Lovelace,1,834909.2794846555,834909.2794846555,578715.0130981243
Richard Dutcher,2,6133593.182357769,3066796.5911788847,3369220.421914592
Sunu Gonera,1,10426030.636822253,10426030.636822253,7226773.740344956
Joachim Trier,1,14266925.334590543,14266925.334590543,9889079.07093069
Abhinav Kashyap,2,5999832.2432267945,2999916.1216133973,3295744.716178054
Carlos Saldanha,5,3933060072.908514,786612014.5817028,1409419525.735323
Peter MacDonald,2,574206790.7301427,287103395.36507136,315415318.26640624
Marshall Brickman,2,41959131.422250755,20979565.711125378,23048408.70116245
Sue Brooks,1,6787258.577858696,6787258.577858696,4704569.146974059
Colm Bairéad,1,7064721.838369411,7064721.838369411,4896892.023706031
Charles S. Dutton,1,10640392.24310217,10640392.24310217,7375357.883358181
Andrew Haigh,3,40391841.88062068,13463947.293540226,18664994.211450227
Shin'ichirô Watanabe,1,5189198.936589497,5189198.936589497,3596878.612261676
Michael Oblowitz,1,22167.658863031327,22167.658863031327,15365.450240524848
Christian E. Christiansen,1,54851279.90123545,54851279.90123545,38020010.013645746
Howard Davies,1,39472.08815224913,39472.08815224913,27359.966613545108
Stephen Carpenter,3,16577817.45526436,5525939.151754786,7660578.285969292
Ringo Lam,1,28164025.335028682,28164025.335028682,19521814.754194
Alexandre Astier,1,58586838.63623077,58586838.63623077,40609302.01862383
Fraser C. Heston,2,54995431.58072758,27497715.79036379,30209328.477596782
Neema Barnette,1,1609983.3961514675,1609983.3961514675,1115955.451790715
Gary David Goldberg,2,158433811.8561139,79216905.92805696,87028666.32282901
George Clooney,7,576119916.0353149,82302845.14790213,171143955.1989904
Paul Schneider,1,771221.3349452555,771221.3349452555,534569.8939049811
Amanda Lipitz,1,1433062.781405026,1433062.781405026,993323.426496287
Isabel Coixet,4,59952375.4997914,14988093.87494785,24122406.51746239
Bart Freundlich,3,39808744.211332195,13269581.403777398,18395545.874477968
Mark Steven Johnson,4,727147712.0050163,181786928.00125408,292574773.9101465
Georges Lautner,1,977764.9308550186,977764.9308550186,677735.005072546
Duncan Jones,3,770835271.4784619,256945090.49282062,356201530.0676372
Simon Wells,2,262709674.4851386,131354837.2425693,144308038.3706861
Richard Pearce,4,93502752.44458805,23375688.111147013,37621718.67531507
Yann Samuell,1,14248463.332076088,14248463.332076088,9876282.185940303
Kevin Rodney Sullivan,3,340759030.97168624,113586343.65722875,157464107.71224228
Mark Helfrich,1,87833530.89817788,87833530.89817788,60881564.300696835
Kirsten Sheridan,1,97170440.94419846,97170440.94419846,67353417.17423783
David G. Evans,1,4355785.997068978,4355785.997068978,3019200.7829908524
Emma-Kate Croghan,1,571363.8293435309,571363.8293435309,396039.2273834022
Zoe R. Cassavetes,1,2857049.673004022,2857049.673004022,1980355.9255624514
Hirokazu Koreeda,3,104594298.30866796,34864766.10288932,48332828.65019937
Eddie Murphy,1,149561674.34467742,149561674.34467742,103668252.89183785
Terry Bedford,1,330791.343935743,330791.343935743,229287.0874026954
Piyush Dinker Pandya,1,1900143.0063015246,1900143.0063015246,1317078.7674786001
Sunny Deol,1,733854.4657262905,733854.4657262905,508669.1538595033
Nils Gaup,2,35864212.08111893,17932106.040559463,19700432.05785827
Jeff Lowell,1,30368036.385568246,30368036.385568246,21049518.799798463
Zal Batmanglij,1,3782418.6438870695,3782418.6438870695,2621772.818707694
John Roberts,1,50238944.23396319,50238944.23396319,34822982.550079904
Dawn Porter,1,57723.74072199405,57723.74072199405,40011.048132823475
Susannah Grant,2,51193481.65672706,25596740.82836353,28120894.023892906
Mary Lambert,3,187683929.84289104,62561309.947630346,86728391.20467366
Michael Crichton,3,89489578.03320959,29829859.344403196,41352965.80214563
Jeff Fowler,1,422110496.583472,422110496.583472,292584700.591592
Toni Myers,3,357014761.7250269,119004920.57500897,164975850.33865538
Richard Tanne,1,8415373.682042608,8415373.682042608,5833092.5410662
John Payson,1,8970189.954289356,8970189.954289356,6217661.875902812
Willard Huyck,2,162039686.77352378,81019843.38676189,89009395.5706623
Joshua Enck,1,5913051.249539561,5913051.249539561,4098614.802124808
John Turturro,4,35984885.143857494,8996221.285964373,14478859.60627772
Charlotte Wells,1,8952520.724504964,8952520.724504964,6205414.499095094
Le-Van Kiet,1,6860446.151953594,6860446.151953594,4755298.907609959
Wim Wenders,5,71085589.00017977,14217117.800035954,25473655.44334515
Robert Clouse,2,47762146.314712256,23881073.157356128,26236040.43725358
Maclain Nelson,1,941879.4593214833,941879.4593214833,652861.0916560118
Stephen Sommers,7,2619757674.2207,374251096.3172428,778233276.7012961
Akira Kurosawa,4,34758815.59033647,8689703.897584118,13985538.900598248
Cherien Dabis,1,3090954.8535124473,3090954.8535124473,2142486.6419502315
Richard Spence,1,583856.8055449331,583856.8055449331,404698.6986142066
Bob Spiers,2,90471829.27486604,45235914.63743302,49696731.70982554
Andrey Kravchuk,1,3132476.9756682026,3132476.9756682026,2171267.583853359
Nicholas Jarecki,1,47093423.75372179,47093423.75372179,32642673.897807013
Raj Kumar Gupta,1,19044364.62098627,19044364.62098627,13200547.642592205
Jan Egleson,1,7966211.150053558,7966211.150053558,5521756.798404823
Jonathan Kasdan,1,25808558.602897625,25808558.602897625,17889129.629914608
Michael McGowan,1,3035688.44070937,3035688.44070937,2104178.8837361163
Jacques Perrin,1,58718043.66136646,58718043.66136646,40700246.41187193
Norman Mailer,1,2302028.974471831,2302028.974471831,1595644.8932224521
Rajkumar Santoshi,2,1431979.6653972578,715989.8326986289,786595.2287641377
Roger Kumble,6,516901012.34114957,86150168.72352493,167640487.66193476
Andrew Scheinman,1,25222808.020107966,25222808.020107966,17483118.264942612
Peter Markle,4,124361348.1818695,31090337.045467377,50037967.151329584
James Cox,1,4084404.454826087,4084404.454826087,2831093.432129183
Joel Zwick,2,91507675.0332828,45753837.5166414,50265728.14950623
Sarah Polley,4,33786258.95745034,8446564.739362584,13594221.521359198
Umesh Shukla,1,20335465.4326323,20335465.4326323,14095470.530003307
Kirk Jones,3,330750852.263181,110250284.087727,152839347.14268193
Les Rose,1,9618476.747524751,9618476.747524751,6667020.038828174
John C. Broderick,1,8464278.440327236,8464278.440327236,5866990.736387155
Juho Kuosmanen,1,3001988.829420231,3001988.829420231,2080820.0931850835
Mitch Davis,2,10153001.932162045,5076500.966081022,5577106.344772142
Ralph Bakshi,3,175403268.43182737,58467756.14394245,81053520.64968026
Tuck Tucker,1,25828208.150172316,25828208.150172316,17902749.658207342
Billy Bob Thornton,1,32086598.10389083,32086598.10389083,22240735.009472013
Al Pacino,1,2735472.4005736136,2735472.4005736136,1896084.9819571455
Shane Salerno,1,851066.8228471349,851066.8228471349,589914.568724602
Ty Roberts,1,4175547.508536,4175547.508536,2894268.9828358325
Andrew Stanton,3,2430195713.6151295,810065237.8717098,1122988871.4007943
Kevin Greutert,3,399366344.52868545,133122114.84289515,184546437.14706004
Adam Thomas Anderegg,1,1379824.1219121732,1379824.1219121732,956421.1997720251
Christopher Hampton,1,6482599.029422572,6482599.029422572,4493395.239944894
Daniel Taplitz,1,20234300.06515617,20234300.06515617,14025348.040766915
Dave Borthwick,2,41637264.04858372,20818632.02429186,22871604.975146487
Jeff Franklin,1,5348992.399579831,5348992.399579831,3707639.0006053364
Arnon Goldfinger,1,790330.9296564846,790330.9296564846,547815.6556007128
Justin Chadwick,4,160448928.8114827,40112232.202870674,64558147.25966007
Niki Caro,3,130607190.58380187,43535730.19460062,60353337.276011795
J.C. Chandor,3,59698851.20257653,19899617.06752551,27586726.92915575
Stuart Blumberg,1,4644228.404418234,4644228.404418234,3219133.824398912
Gavin Millar,1,3443254.367527881,3443254.367527881,2386682.0568026686
Dennis Iliadis,1,65325964.46555139,65325964.46555139,45280508.08665612
Jim Fall,2,95781876.08985366,47890938.04492683,52613573.05199972
Maria Schrader,1,14518218.669846749,14518218.669846749,10063262.337757032
Deb Hagan,1,8867062.702637678,8867062.702637678,6146179.512181555
John Greyson,2,1043823.2096044248,521911.6048022124,573378.5026342046
María Novaro,1,1007845.489735683,1007845.489735683,698585.2596503459
Simon Curtis,4,176151380.57721743,44037845.14430436,70876177.55714539
Christopher Monger,1,21802847.64343832,21802847.64343832,15112582.372227319
Marcus Dunstan,2,27713841.322892677,13856920.661446339,15223383.32176398
Steve Taylor,1,789668.6090925721,789668.6090925721,547356.56996921
Colin Brady,1,25130642.053452384,25130642.053452384,17419233.685011715
Derrick Borte,2,62196284.23803713,31098142.119018566,34164801.086701125
Akiv Ali,1,1755717.1969944104,1755717.1969944104,1216970.4249572856
Sam Shepard,1,129206.29998615917,129206.29998615917,89558.98254598872
Bharat Nalluri,2,33772068.1909914,16886034.0954957,18551204.564180266
David Hugh Jones,2,5288338.538643096,2644169.269321548,2904916.852595229
Kirill Mikhanovsky,1,744682.5013044821,744682.5013044821,516174.5761915296
Todd Field,1,22401730.336884923,22401730.336884923,15527696.222675977
JT Mollner,1,3763586.0,3763586.0,2608719.0246948823
Lynne Stopkewich,1,639332.3780879541,639332.3780879541,443151.43531235034
Thomas Napper,1,2867076.0,2867076.0,1987305.6458510857
Walt Dohrn,2,267387113.186557,133693556.5932785,146877384.18912116
Bill Pohlad,1,36864720.32454717,36864720.32454717,25552676.955090784
Simon McQuoid,1,94935898.7997269,94935898.7997269,65804550.586954996
Bernard Rose,3,77028911.1709591,25676303.723653033,35594915.06650185
Franco Zeffirelli,6,333348914.6269761,55558152.437829345,108111172.69153431
Steve Carver,3,41454726.21643932,13818242.07214644,19156151.06520624
Russell Holt,1,5399866.258305982,5399866.258305982,3742902.0723455725
Breck Eisner,3,451518102.09065455,150506034.03021818,208645666.29060984
Bong Joon Ho,3,273180212.4399013,91060070.81330043,126236062.69165632
Marleen Gorris,2,9598092.672642201,4799046.336321101,5272291.278970032
Renzil D'Silva,1,2075892.712781478,2075892.712781478,1438899.1810094176
Charles Binamé,1,11431299.484569205,11431299.484569205,7923573.007865501
Peter Faiman,1,10299753.114229076,10299753.114229076,7139244.831591399
Christophe Barratier,1,18313880.459835675,18313880.459835675,12694214.605846971
Seth Kearsley,1,40366885.39167315,40366885.39167315,27980192.797224686
Stephen Walker,1,10429487.047506051,10429487.047506051,7229169.541665288
Émile Gaudreault,2,18091149.31188114,9045574.65594057,9937579.47508112
Scott McGehee,4,31772516.09656,7943129.02414,12783972.994806595
Po-Chih Leong,1,187438.99217153285,187438.99217153285,129922.80895069566
Rudy De Luca,1,20380123.532936804,20380123.532936804,14126425.166318538
Chris Marker,2,287897.80969396414,143948.90484698207,158144.03580521094
Vincent D'Onofrio,1,1861982.75992443,1861982.75992443,1290628.100292844
Philippe Falardeau,2,16664011.275164641,8332005.637582321,9153643.782699907
Dan O'Bannon,1,40328584.011338286,40328584.011338286,27953644.30343402
Jeremy Leven,1,141438743.45993254,141438743.45993254,98037866.25119364
Gorô Taniguchi,2,190264452.25232324,95132226.12616162,104513432.67055456
Robbie Grewal,1,7283405.999561912,7283405.999561912,5048472.33346973
John Patton Ford,1,2246492.554188379,2246492.554188379,1557149.980084585
Gilbert Cates,3,149808649.3904713,49936216.463490434,69226295.29899903
Kabir Khan,4,171602936.9163964,42900734.2290991,69046068.13957141
Bruce Hendricks,2,41038242.91666558,20519121.45833279,22542558.986797906
Kurt Wimmer,2,56052405.7632239,28026202.88161195,30789930.89044448
Vadim Perelman,1,27760677.20873913,27760677.20873913,19242235.13767226
Peter Billingsley,1,244067300.45483994,244067300.45483994,169174561.17714936
Rodrigo Cortés,1,27164283.35073559,27164283.35073559,18828846.416493837
Madhur Bhandarkar,1,10665980.74342535,10665980.74342535,7393094.480211951
Joseph Cedar,1,3320471.4158860845,3320471.4158860845,2301575.400051329
René Laloux,2,1132239.505691564,566119.752845782,621946.1173341292
David Dhawan,1,35717860.33430972,35717860.33430972,24757734.186360687
Ilya Naishuller,2,86280936.52278325,43140468.261391625,47394648.57086141
Magnus Martens,1,223134.02688120454,223134.02688120454,154664.72161969397
John Ottman,1,68256011.90548201,68256011.90548201,47311462.208550915
Lee Stanley,1,3037989.0525239976,3037989.0525239976,2105773.5463289884
Glenn Jordan,3,96604004.51127173,32201334.837090578,44640528.90519216
Yannick Bellon,1,211862.36282252314,211862.36282252314,146851.79945720008
Frederik Du Chau,2,137999313.71140477,68999656.85570239,75803870.93555743
Guido Manuli,1,174821.09462555067,174821.09462555067,121176.74884210386
Natalie Portman,1,931890.5786082855,931890.5786082855,645937.3271527091
Matthew Irmas,1,7631.666628652885,7631.666628652885,5289.86820662417
Tate Taylor,4,567251649.2648493,141812912.31621233,228239077.55440488
Amin Q. Chaudhri,1,1088651.5657988167,1088651.5657988167,754595.7634456196
Denise Di Novi,1,22086932.083975196,22086932.083975196,15309494.701226404
Blitz Bazawule,1,68819191.0,68819191.0,47701828.21006636
Manolo Caro,1,9580488.464646544,9580488.464646544,6640688.567656831
Jason Eisener,1,1013853.204673267,1013853.204673267,702749.4903209402
Kenny Ortega,2,483316835.2412462,241658417.6206231,265488907.25810662
Richard Quine,1,32109547.123966943,32109547.123966943,22256642.058034386
Stanley Kubrick,2,431613310.7393911,215806655.36969554,237087843.56551126
Ellen Hovde,1,217391.8507063197,217391.8507063197,150684.54839379404
Uwe Boll,4,67630321.02138275,16907580.255345687,27211700.670475576
Warren Beatty,4,574282262.5060874,143570565.62652186,231067911.42893234
Alfonso Brescia,1,30537.255897887324,30537.255897887324,21166.81282765816
Kevin Allen,1,46486000.07670725,46486000.07670725,32221639.88867903
Andrew Cumming,1,2069086.4508106816,2069086.4508106816,1434181.4397142078
Hettie Macdonald,1,4226770.213996176,4226770.213996176,2929773.8567062058
Richard Greenberg,1,1950522.822983871,1950522.822983871,1351999.3953690955
Hans Petter Moland,2,92496816.91234371,46248408.456171855,50809069.861292526
Cameron Cairnes,1,15453763.0,15453763.0,10711732.252491603
Fred Cavayé,1,13257344.289494442,13257344.289494442,9189290.815975564
David Schmoeller,1,35927488.60080829,35927488.60080829,24903037.428249843
Rick Rowley,1,545233.4242199204,545233.4242199204,377927.0107450824
Leste Chen,1,54561400.48190273,54561400.48190273,37819080.91143292
Simon Callow,1,413629.6092511014,413629.6092511014,286706.1974485128
Stephen Hillenburg,1,227546896.78078347,227546896.78078347,157723489.94876495
Baltasar Kormákur,4,434595479.8418449,108648869.96046123,174863610.45748875
Allen Coulter,2,103690424.96781498,51845212.48390749,56957787.54343007
Jason Kwan,1,54512884.62127773,54512884.62127773,37785452.27942826
Tim Blake Nelson,2,34207365.72872953,17103682.864364766,18790316.176273305
Amy Berg,3,3080821.1555268974,1026940.3851756324,1423641.6651752677
Leigh Whannell,1,20272468.74583345,20272468.74583345,14051804.554164065
Kaige Chen,5,1626681137.9498448,325336227.589969,582924266.4672605
John Murlowski,1,427627.6035436584,427627.6035436584,296408.86772589287
Mark Christopher,2,32336011.462759286,16168005.731379643,17762369.779750105
Thomas Balmès,1,14280015.119107017,14280015.119107017,9898152.218162421
Robert Fernandez,1,3817356.8371920185,3817356.8371920185,2645990.1288908776
Nickolas Perry,1,607487.7163790365,607487.7163790365,421078.39783292887
Michael Carney,1,7985008.529332571,7985008.529332571,5534786.1488539865
Adil El Arbi,1,502130901.92181945,502130901.92181945,348050618.93913156
Darrell Roodt,3,27481232.022092175,9160410.674030725,12699025.66295125
Noam Murro,2,451259346.3970624,225629673.1985312,247879531.66407603
Viggo Mortensen,1,1897947.0,1897947.0,1315556.6119022064
Brian Dannelly,1,16574738.715288512,16574738.715288512,11488733.409020003
W.D. Richter,2,38269341.85901799,19134670.929508995,21021584.622779027
Christian Charles,1,4661124.22221234,4661124.22221234,3230845.112866151
Charlie Stratton,1,853098.1084749546,853098.1084749546,591322.5486304371
William Richert,1,4876272.855316805,4876272.855316805,3379974.7813038374
J.J. Abrams,4,5105529295.90873,1276382323.9771824,2054258102.969622
Paul Rodriguez,1,2510074.217840756,2510074.217840756,1739850.8670925298
Lynn Shelton,2,1058586.772733432,529293.386366716,581488.218573232
Anton Corbijn,3,153474299.11484194,51158099.704947315,70920185.1465776
David Twohy,5,469602339.8149241,93920467.96298483,168282887.82700825
Shona Auerbach,1,2672520.4338697726,2672520.4338697726,1852450.0037256745
Bill Kroyer,1,71041160.53875978,71041160.53875978,49241980.13114779
Brian Helgeland,4,572132902.7423477,143033225.68558693,230203096.15612656
David Michôd,2,13314447.590114968,6657223.795057484,7313707.869663902
Kristina Buozyte,1,1739645.3408621075,1739645.3408621075,1205830.2631928148
Robert Bresson,1,134833.1490429043,134833.1490429043,93459.217105108
Michael Laughlin,1,4167635.027168675,4167635.027168675,2888784.468684838
Lesli Linka Glatter,2,75435412.47535443,37717706.23767722,41437135.57308601
Chris Gorak,1,87543338.18400544,87543338.18400544,60680418.03904917
Gabi Kubach,1,2712507.72453886,2712507.72453886,1880167.0815111834
Maren Ade,1,15238291.660359906,15238291.660359906,10562378.900928596
Tony Gilroy,2,503138383.34179354,251569191.67089677,276377005.4199503
Katsuhiro Ôtomo,1,8566200.913136095,8566200.913136095,5937638.011050313
Jason Friedberg,4,411593964.71256626,102898491.17814156,165608732.83436683
Sylvain Chomet,1,24470178.782880437,24470178.782880437,16961435.431151368
Krzysztof Kieslowski,4,18193217.71749504,4548304.42937376,7320213.5859260755
Ghyslaine Côté,1,2997046.6137533085,2997046.6137533085,2077394.4103298371
Dan Bradley,1,67617869.33365855,67617869.33365855,46869135.48409621
Hal Barwood,1,5431729.4250371745,5431729.4250371745,3764987.93652901
Chris Paine,1,2666601.9712698413,2666601.9712698413,1848347.6380612827
Robin Budd,1,194985535.60123402,194985535.60123402,135153674.2519662
Robin Pront,1,200912.28891353152,200912.28891353152,139261.78660025954
Chris Carter,1,98164730.25207266,98164730.25207266,68042606.00465174
Tim McCanlies,2,81183349.10582362,40591674.55291181,44594512.48144551
Pete Travis,2,269633091.1691447,134816545.58457235,148111113.69499558
Nikita Mikhalkov,3,11506541.65067685,3835513.88355895,5317151.268774825
Jonathan Mossek,1,77718.18173313276,77718.18173313276,53870.13854656641
Peter Medak,4,47842274.36438493,11960568.591096232,19249792.544778787
Tom Shadyac,9,2860301239.4465814,317811248.82739794,731787443.9357879
Laure de Clermont-Tonnerre,1,7634701.755993381,7634701.755993381,5291971.996582876
Craig Zobel,2,13206899.622506818,6603449.811253409,7254631.110246105
Kevan Otto,1,3215918.7848563967,3215918.7848563967,2229105.038632977
Philip Ridley,1,39730.15672532518,39730.15672532518,27538.846117363897
Lance Rivera,2,27913274.621089496,13956637.310544748,15332933.257848298
Daniel Geller,2,4957564.076743046,2478782.038371523,2723220.408284741
Éric Tessier,1,3335279.683923913,3335279.683923913,2311839.709290726
Arne Glimcher,2,88325312.19101922,44162656.09550961,48517636.686750464
Frank Zuniga,1,20395225.31074297,20395225.31074297,14136892.921026325
Scott Winant,1,6692290.57788162,6692290.57788162,4638742.345546532
David Palmer,1,22317943.73630844,22317943.73630844,15469619.776717687
Wong Kar-Wai,5,44419027.16777786,8883805.433555571,15917642.50835284
Patrice Chéreau,1,4598104.584720497,4598104.584720497,3187163.2288187705
Cory Edwards,1,171639692.8378597,171639692.8378597,118971569.16273747
Leo Penn,1,591260.9662890956,591260.9662890956,409830.87175843545
Chad Hartigan,1,45977.671760473866,45977.671760473866,31869.293549483074
Terry Hughes,2,22713264.677148603,11356632.338574301,12476535.845043382
Rupert Hitzig,1,409467.8852419355,409467.8852419355,283821.5101852908
Don McKellar,2,6719593.032528774,3359796.516264387,3691113.7401923602
Tom Piozet,1,979384.0421456364,979384.0421456364,678857.2874986505
Joel Hershman,1,3470017.862415796,3470017.862415796,2405233.097826157
Peter R. Hunt,2,16493073.081522265,8246536.540761133,9059746.382630786
Jonas Elmer,1,41203400.632683404,41203400.632683404,28560020.978026368
Elliot Berlin,1,1859435.4865749073,1859435.4865749073,1288862.464952507
Michael Gornick,1,37551302.81690141,37551302.81690141,26028579.673887942
Kim Henkel,1,382209.80024291505,382209.80024291505,264927.6454207565
Dean Israelite,2,219633502.70392466,109816751.35196233,120646032.53687607
Gabriele Salvatores,2,22319441.8728002,11159720.9364001,12260206.558835935
Richard LaGravenese,4,401554126.6556225,100388531.66390562,161569108.83348083
Peter Atencio,1,26343072.113755018,26343072.113755018,18259626.16293661
Darin Scott,1,12627295.78230675,12627295.78230675,8752574.469602412
Chris Dowling,2,9287452.64323429,4643726.321617145,5101654.802140155
Alfredo Rodriguez de Villa,1,10641763.663209524,10641763.663209524,7376308.479338957
Sandeep Reddy Vanga,1,92870950.0,92870950.0,64373237.14842365
Jonathan Frakes,4,605380319.7147437,151345079.92868593,243580509.49759635
Tyler Nilson,1,28261003.53244386,28261003.53244386,19589034.918308116
Kevin Altieri,1,12363392.246214533,12363392.246214533,8569650.477620292
Peter Cornwell,1,110182715.6184714,110182715.6184714,76372838.6773817
Shana Feste,2,73372233.25644167,36686116.628220834,40303818.55127489
Rintarô,2,7461261.942144075,3730630.9710720377,4098517.0293055843
Les Blank,1,26887.675606326888,26887.675606326888,18637.1165383359
Steve Race,1,3274374.8811325696,3274374.8811325696,2269623.7169533465
Joel Hopkins,1,46091623.63624288,46091623.63624288,31948278.970891885
Horace Jenkins,1,86254.34750259068,86254.34750259068,59786.957782458485
Anusha Rizvi,1,13220294.775479693,13220294.775479693,9163610.049795125
Robert B. Weide,1,27104385.198153302,27104385.198153302,18787328.180910677
Annabel Jankel,2,76858463.31417394,38429231.65708697,42218826.14254929
Sylvio Tabet,1,1944824.274229075,1944824.274229075,1348049.4623664252
John Maybury,2,35250888.97913317,17625444.489566583,19363529.909475468
John Mathew Matthan,1,528076.3659423769,528076.3659423769,366034.6441733005
Daisy von Scherler Mayer,3,97832029.68911813,32610676.563039377,45207997.031646065
Audrey Wells,1,1162622.8533013205,1162622.8533013205,805868.7528203692
Anurag Basu,1,16637622.669837106,16637622.669837106,11532321.24481782
Chuck Sheetz,1,76495256.44664031,76495256.44664031,53022471.33219871
Louis Leterrier,7,1852231636.769635,264604519.5385193,550229630.0446308
Jerry Zaks,1,24864197.83371574,24864197.83371574,17234548.625324763
Max Joseph,1,13304021.812207563,13304021.812207563,9221645.209239686
Charles Sturridge,4,43901165.45273727,10975291.363184318,17664050.01991938
Andrew Rossi,1,1460232.6469131631,1460232.6469131631,1012156.1421694452
Kim Ki-duk,1,14642635.112815218,14642635.112815218,10149501.244415924
Jeff Orlowski-Yang,1,1803134.4762319573,1803134.4762319573,1249837.578370615
Nitesh Tiwari,1,3946645.155352679,3946645.155352679,2735605.962103277
Ismail Merchant,2,884642.2369209586,442321.1184604793,485939.4162781053
Jay Craven,1,1255720.1696193772,1255720.1696193772,870398.8951439275
Paul Justman,1,3970536.3630461367,3970536.3630461367,2752166.085356169
Dan Ireland,2,1645750.3586605545,822875.1793302773,904020.7840522171
Amir Naderi,1,102155.817786333,102155.817786333,70809.01707639224
Michael Winner,5,235453046.16405842,47090609.23281168,84375045.00460841
Patrick Read Johnson,3,80069087.54511262,26689695.848370876,36999774.8546015
Yurek Bogayevicz,1,3317518.127605634,3317518.127605634,2299528.336606354
Henry Jaglom,4,8651241.952061621,2162810.4880154054,3480909.1968220915
Martin Brest,5,893442840.6881169,178688568.13762337,320166934.0033892
Tim Reid,1,4581036.620800525,4581036.620800525,3175332.617749743
Nobuhiko Ôbayashi,1,1100507.1970957096,1100507.1970957096,762813.4608528191
Philipp Stölzl,1,9644831.671235422,9644831.671235422,6685287.879892098
Frank Perozo,1,9474397.850446224,9474397.850446224,6567152.157540007
Niels Mueller,1,7139425.9453361565,7139425.9453361565,4948672.964826279
Celine Song,1,42528586.0,42528586.0,29478569.479101162
Joseph Kahn,1,75080568.12225516,75080568.12225516,52041884.10878007
Peter Ramsey,1,407352721.4663275,407352721.4663275,282355390.3778056
Tomás Gutiérrez Alea,2,6209081.139603084,3104540.569801542,3410686.42065267
Nadine Labaki,1,10168980.70861878,10168980.70861878,7048600.307347583
Anne Fontaine,3,92252950.05479532,30750983.35159844,42629914.819212556
Alan Johnson,1,39862773.757309236,39862773.757309236,27630769.23917787
Judith Ehrlich,1,644795.8864251854,644795.8864251854,446938.45071226795
Robert Vincent O'Neil,1,15922624.948643122,15922624.948643122,11036722.590265423
Ken Shapiro,1,87670411.44248624,87670411.44248624,60768498.50988971
Bernardo Bertolucci,5,180816771.6446676,36163354.32893352,64796032.55791601
