Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
Tono Errando,1,3334695.7174659846,3334695.7174659846,2311434.934586871
Imtiaz Ali,4,83315778.76086994,20828944.690217484,33522893.260428965
Lee Byeong-heon,1,142940516.43634242,142940516.43634242,99078815.95563327
Antony Hoffman,1,59213346.586747974,59213346.586747974,41043564.238123216
Caleb Deschanel,2,1265113.4903007108,632556.7451503554,694934.6135020822
David C. Johnson,1,1510542.6888394065,1510542.6888394065,1047028.4058844734
Guy Green,1,88922742.15163569,88922742.15163569,61636548.01006528
Hugh Wilson,5,487397322.2256279,97479464.44512558,174659753.47483325
Park Chan-wook,4,115932500.21186057,28983125.05296514,46646540.28106069
Mark Osborne,2,1019986305.125025,509993152.5625125,560284744.5417664
Hayao Miyazaki,10,1119876040.2482812,111987604.02482812,268534546.30315113
David Soren,2,525511206.3749491,262755603.18747455,288666534.5781611
John Herzfeld,2,118586714.94752063,59293357.473760314,65140411.15706419
Walter Hill,16,1308294889.793424,81768430.612089,231667408.73270532
Michael Miller,2,64871343.13556477,32435671.567782383,35634227.37556854
Sanjay Leela Bhansali,8,146586407.12885675,18323300.891107094,40260407.05586716
Neil Jordan,14,842980276.0294081,60212876.85924344,163059493.2876168
Don Lusk,1,3720544.866131387,3720544.866131387,2578885.18410575
Joe Roth,5,483152120.81345475,96630424.16269095,173138477.50902495
Angela Robinson,2,227255487.34405828,113627743.67202914,124832835.53172126
Ivan Passer,2,21023962.440902762,10511981.220451381,11548591.747036282
Harold Cronk,3,42088606.2104479,14029535.403482633,19449065.81897984
Bob Weinstein,1,7421178.45740876,7421178.45740876,5143968.924185086
Michael Haneke,5,115449848.10467125,23089969.62093425,41371671.71249707
Andrew Jay Cohen,1,42618133.72147519,42618133.72147519,29540639.22976726
Sean Durkin,3,54176379.386633664,18058793.12887789,25034803.083194043
Michael Lehmann,6,331706739.43656945,55284456.57276157,107578585.12994446
Vincent Ward,3,113062214.41525884,37687404.80508628,52245836.76653378
Michael Bay,13,8445450618.130101,649650047.5484693,1714463719.667689
F. Gary Gray,9,2934089820.404322,326009980.0449247,750665720.21873
Alan Parker,10,682101231.0418895,68210123.10418895,163560731.7485296
Ninja Thyberg,1,442849.61600177136,442849.61600177136,306959.96274368226
Kevin Williamson,1,16372584.02382953,16372584.02382953,11348610.454598244
Jonathan Teplitzky,1,31620152.256725494,31620152.256725494,21917419.385625467
Oliver Hermanus,1,12886815.915053561,12886815.915053561,8932460.117914407
Agnès Jaoui,2,32019997.295403022,16009998.647701511,17588781.255924698
Charlotte Le Bon,1,161788.63571099075,161788.63571099075,112143.33668971332
Gore Verbinski,8,5466326737.611013,683290842.2013767,1501343431.9536293
Christian Rivers,1,101770565.0747928,101770565.0747928,70541980.24558507
Julius Avery,2,127536703.19399698,63768351.59699849,70056694.69257122
Charles Gormley,1,742986.3576459854,742986.3576459854,514998.89899681794
Gilbert Moses,1,34756366.64865014,34756366.64865014,24091277.54901956
Phillip Borsos,4,91743774.94626477,22935943.736566193,36913977.40708507
Ron Davis,1,744113.762472734,744113.762472734,515780.3564738284
Omung Kumar,1,1080954.8513111651,1080954.8513111651,749260.807498929
Paul Schibli,1,4153678.0810099468,4153678.0810099468,2879110.2508056886
Sylvain White,3,214828673.18842623,71609557.72947541,99271926.08266103
Yves Robert,2,7478666.968278501,3739333.4841392506,4108077.717103519
Doug Ellin,3,73695043.73257928,24565014.577526424,34054341.18965279
Alastair Fothergill,4,243933120.61855406,60983280.154638514,98148803.10546531
Jack Clayton,2,152793512.13415676,76396756.06707838,83930415.02967228
Dusan Makavejev,1,180451.5817413356,180451.5817413356,125079.50511158927
Steve Martino,2,1480771323.3150737,740385661.6575369,813396786.2506393
Melvin Frank,1,13527748.929669421,13527748.929669421,9376721.029923176
Christopher Cain,7,277446213.1068319,39635173.300975986,82419025.87372898
Andrew Sipes,1,23061536.816627298,23061536.816627298,15985039.223824587
Britt Allcroft,1,34943425.309628345,34943425.309628345,24220936.73247592
Rolf de Heer,1,2028545.285054348,2028545.285054348,1406080.4449735917
Brian Gilbert,3,72378173.62305683,24126057.874352276,33445817.987266693
Adele Lim,1,15787674.0,15787674.0,10943181.720699554
Benoît Godbout,1,4325724.360603249,4325724.360603249,2998363.644431614
Ken Scott,3,96850843.36813971,32283614.45604657,44754592.67698594
Milos Forman,4,215321377.10841298,53830344.277103245,86636596.91894996
Kevin Macdonald,8,297080124.96406066,37135015.62050758,81593969.00114368
Marielle Heller,3,98336352.81148313,32778784.270494375,45441043.798551716
Andrew Davis,8,1826521259.9996514,228315157.49995643,501659675.4372942
Matt Reeves,6,2621600343.0523906,436933390.5087318,850233119.0520897
Jean-Paul Rappeneau,3,31654194.26893502,10551398.089645008,14627343.67360606
Gil Junger,2,166969190.91195744,83484595.45597872,91717202.48242407
Azazel Jacobs,1,1832799.9954638716,1832799.9954638716,1270400.1493860632
John R. Cherry III,5,228747223.42706695,45749444.68541339,81972000.72701456
Cindy Meehl,1,6026239.642996546,6026239.642996546,4177071.017921627
Anh Hung Tran,3,14618748.137150895,4872916.045716965,6755296.036388063
Jonás Cuarón,1,6331420.5435897,6331420.5435897,4388606.298728516
Daniel Petrie,6,226866650.69279876,37811108.4487998,73577019.67755063
Adam McKay,6,1056804421.382418,176134070.230403,342741074.85576254
Åke Sandgren,1,650244.6113217993,650244.6113217993,450715.2190120027
István Szabó,3,37824040.96491608,12608013.654972026,17478418.2348103
Edward Zwick,8,1281106003.8742015,160138250.4842752,351859699.7356732
Takashi Miike,1,26115279.335198294,26115279.335198294,18101732.2407281
Steve Pink,4,230643034.02972227,57660758.50743057,92801410.80156584
Martin Campbell,12,2283655247.436079,190304603.9530066,488121671.6312365
Anthony Drazan,2,6762919.497658759,3381459.7488293797,3714913.2337005367
Robert Mandel,4,98637351.60623355,24659337.901558388,39687673.31429122
Herbert Ross,11,1305983690.0334077,118725790.00303707,295022505.0798805
Bart Layton,1,4950903.014436076,4950903.014436076,3431704.4656821005
Michael Winterbottom,8,57020319.30279093,7127539.912848867,15660805.872456387
Brent Mccorkle,1,1372851.0958300305,1372851.0958300305,951587.866403217
Jason Bateman,1,10207879.963143414,10207879.963143414,7075563.215947215
Michael Tolkin,2,3361935.495758025,1680967.7478790125,1846731.82467464
Alex Holmes,1,4241247.449023723,4241247.449023723,2939808.7113478538
Michael Ritchie,12,897030770.7720083,74752564.23100069,191736541.5929075
Joel Silberg,3,131494018.27857049,43831339.42619016,60763138.68685936
Neil Marshall,4,196193951.03126124,49048487.75781531,78940495.7449878
Simon West,6,1794209945.9783537,299034990.9963923,581895223.902544
