Actor,Count,TotalGrossWorldWide,AverageGrossPerFilm,top_3_count,weight
Alfie Kennedy,1,198592418.81241864,198592418.81241864,0,41296132.55412234
Olga Kurylenko,8,1631153809.6896803,203894226.21121004,0,134400421.50246644
Adam James,1,198592418.81241864,198592418.81241864,0,41296132.55412234
Norman Mailer,2,6258140.2658844385,3129070.1329422193,1,2234462.6851005405
Michael Rockefeller,1,680144.0602439025,680144.0602439025,1,471439.93773265457
Tobias Schneebaum,1,680144.0602439025,680144.0602439025,1,471439.93773265457
Michael Angarano,8,495533203.070477,61941650.383809626,8,136099716.584074
Josh Pais,4,42216795.211126484,10554198.802781621,4,16986327.688563332
Meryl Streep,42,5813827195.9885435,138424457.04734626,40,503287347.73258734
Teddy Coluca,1,28123568.88009004,28123568.88009004,0,5848131.742955348
Angela Bassett,17,4407211326.048661,259247725.06168595,8,471632272.9496033
Aidan Quinn,17,1118468397.2511506,65792258.66183239,4,88370369.52720243
Robert Ari,1,28123568.88009004,28123568.88009004,0,5848131.742955348
Barbara Gonzalez,1,28123568.88009004,28123568.88009004,0,5848131.742955348
Henry Dinhofer,1,28123568.88009004,28123568.88009004,0,5848131.742955348
Terence Stamp,18,2076968506.9542966,115387139.2752387,18,339750390.57651967
Murray Davies,1,23919632.913967613,23919632.913967613,1,16579826.114345519
John Casey,1,23919632.913967613,23919632.913967613,1,16579826.114345519
June Marie Bennett,1,23919632.913967613,23919632.913967613,0,4973947.834303656
Rebel Penfold-Russell,1,23919632.913967613,23919632.913967613,0,4973947.834303656
Guy Pearce,18,3264911696.927185,181383983.16262138,2,201761315.4166302
Frank Cornelius,1,23919632.913967613,23919632.913967613,0,4973947.834303656
Leighton Picken,1,23919632.913967613,23919632.913967613,0,4973947.834303656
Bob Boyce,1,23919632.913967613,23919632.913967613,0,4973947.834303656
Claire Forlani,8,388377502.75154483,48547187.843943104,5,78668442.28981158
Nate Dushku,1,32229038.42625636,32229038.42625636,1,22339467.117317732
Tim Robbins,27,1830884875.5076668,67810550.9447284,9,120511265.97092769
Ned Bellamy,8,126739745.06193201,15842468.132741502,2,16534493.6647896
Douglas McFerran,2,305796533.3936477,152898266.69682384,0,50392774.4127554
Richard Roundtree,10,457260401.230952,45726040.1230952,0,32893876.63648758
Yee Jee Tso,1,32229038.42625636,32229038.42625636,0,6701840.13519532
Tygh Runyan,1,32229038.42625636,32229038.42625636,0,6701840.13519532
Ryan Phillippe,10,934982797.12748,93498279.712748,0,67259724.88139346
Rachael Leigh Cook,9,149621338.5943806,16624593.1771534,0,11483862.128041182
Zeus,1,7781485.662591262,7781485.662591262,1,5393714.847592771
Caledonia Curry,1,7781485.662591262,7781485.662591262,1,5393714.847592771
Debora Guetta,1,7781485.662591262,7781485.662591262,1,5393714.847592771
Mr. Brainwash,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Monsieur André,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Banksy,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Shepard Fairey,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Ron English,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Borf,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Space Invader,1,7781485.662591262,7781485.662591262,0,1618114.4542778314
Vernard 'Bone' Hampton,1,966843.6402328119,966843.6402328119,1,670164.9432696877
Michael Tait,1,966843.6402328119,966843.6402328119,1,670164.9432696877
Chonda Pierce,1,966843.6402328119,966843.6402328119,1,670164.9432696877
Mike Huckabee,1,966843.6402328119,966843.6402328119,0,201049.4829809063
Jason Benham,1,966843.6402328119,966843.6402328119,0,201049.4829809063
Danny Gokey,1,966843.6402328119,966843.6402328119,0,201049.4829809063
Jeff Allen,1,966843.6402328119,966843.6402328119,0,201049.4829809063
